Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,North America,NAC,764508279730.82,1740554984945.63,3468147090790.43,3308108038566.13,3240066522405.3,3468558224130.15,3714645031766.71,3697564143451.42,3341147987712.61,4047355224060.39,4715147491509.07,4583597342118.73
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Canada,CAN,147835857172.559,286623518254.321,589626505395.032,534721035459.451,517857545753.834,555101866455.117,591388920187.493,589666321023.625,525585619916.006,626558336424.993,728732007565.1,724713422304.171
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,,,
