Player,Player Votes,Player Rank,Fan Votes,Fan Rank,Media Votes,Media Rank,Weighted Score
"Brown, Bruce (TOR) ",0,70,"1,888",68,0,8,53.5
,,,,,,,
"Kispert, Corey (WAS) ",0,70,"1,871",69,0,8,54
,,,,,,,
"Martin, Cody (CHA) ",1,43,"1,226",83,0,8,54.25
,,,,,,,
"Jackson, Reggie (PHI) ",0,70,"1,866",70,0,8,54.5
,,,,,,,
"Connaughton, Pat (MIL) ",0,70,"1,721",71,0,8,55
,,,,,,,
"Kolek, Tyler (NYK) ",1,43,"1,125",86,0,8,55.75
,,,,,,,
"Council IV, Ricky (PHI) ",0,70,"1,511",74,0,8,56.5
,,,,,,,
"McCullar Jr., Kevin (NYK) ",0,70,"1,508",75,0,8,57
,,,,,,,
"Temple, Garrett (TOR) ",2,32,906,95,0,8,57.5
,,,,,,,
"Johnson, AJ (MIL) ",1,43,938,90,0,8,57.75
,,,,,,,
"Krejci, Vit (ATL) ",0,70,"1,437",77,0,8,58
,,,,,,,
"Horton-Tucker, Talen (CHI) ",0,70,"1,431",78,0,8,58.5
,,,,,,,
"Wong, Isaiah (CHA) ",0,70,"1,350",81,0,8,60
,,,,,,,
"Merrill, Sam (CLE) ",0,70,"1,241",82,0,8,60.5
,,,,,,,
"Joseph, Cory (ORL) ",0,70,"1,181",84,0,8,61.5
,,,,,,,
"Okoro, Isaac (CLE) ",0,70,"1,132",85,0,8,62
,,,,,,,
"Beauchamp, MarJon (MIL) ",0,70,"1,116",87,0,8,63
,,,,,,,
"Carter, Jevon (CHI) ",0,70,"1,009",88,0,8,63.5
,,,,,,,
,,,,,,,
"Mathews, Garrison (ATL) ",0,70,968,89,0,8,64
,,,,,,,
"Furphy, Johnny (IND) ",0,70,936,91,0,8,65
,,,,,,,
"Christopher, Josh (MIA) ",1,43,747,105,0,8,65.25
,,,,,,,
"Nesmith, Aaron (IND) ",0,70,933,92,0,8,65.5
,,,,,,,
"Johnson, Keon (BKN) ",0,70,913,93,0,8,66
,,,,,,,
"Queen, Trevelin (ORL) ",1,43,659,107,0,8,66.25
,,,,,,,
"Richardson, Josh (MIA) ",0,70,911,94,0,8,66.5
,,,,,,,
"Rollins, Ryan (MIL) ",0,70,898,96,0,8,67.5
,,,,,,,
"Scheierman, Baylor (BOS) ",0,70,877,97,0,8,68
,,,,,,,
"Watford, Trendon (BKN) ",0,70,869,98,0,8,68.5
,,,,,,,
"Davis, Johnny (WAS) ",0,70,860,99,0,8,69
,,,,,,,
