"Date","Samsung","Apple","Unknown","Nokia","Xiaomi","Huawei","Oppo","LG","Motorola","Sony","HTC","Lenovo","Vivo","RIM","Micromax","Realme","Mobicel","Google","Asus","General Mobile","OnePlus","BBK","Tecno","ZTE","Infinix","Alcatel","Lava","Itel","Gionee","Vodafone","Turkcell","Wiko","Coolpad","Casper","Lyf","Hisense","Vestel","Spice","Honor","AIS","Meizu","bq","QMobile","LeEco","Panasonic","True","Kyocera","Acer","Reliance Digital","Pantech","InFocus","Intex","Xolo","Nintendo","T-Mobile","Smartfren","Blu","Archos","HP","Infinex","i-Mobile","Condor","Avea","Sharp","Karbonn","dtac","Yu","Symphony","Lanix","Other"
2010-04,2.37,33.15,0,37.58,0,0,0,0.23,0.3,8.3,0.09,0,0,15.86,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67
2010-05,3.27,33.09,0,37.37,0,0,0,0.08,0.12,7.96,0.03,0,0,16.16,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
2010-06,3.86,30.71,0,38.28,0,0,0,0.08,0.11,7.9,0.03,0,0,17.23,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
2010-07,3.83,30.09,0,36.78,0,0,0,0.21,0.29,7.9,0.07,0,0,19.04,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71
2010-08,4.07,29.82,0,36.4,0,0,0,0.22,0.35,7.81,0.07,0,0,19.71,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63
2010-09,4.53,26.72,0,38.06,0,0,0,0.18,0.4,7.84,0.06,0,0,20.99,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51
2010-10,4.68,26.5,0,37.81,0,0,0,0.16,0.42,7.81,0.05,0,0,21.51,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45
2010-11,5.59,25.72,0,36.54,0,0,0,0.15,1.37,7.04,0.04,0,0,22.6,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2010-12,6.6,28.04,0,34.4,0,0,0,0.15,1.76,6.6,0.04,0,0,21.48,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39
2011-01,7.06,30.2,0,35.58,0,0,0,0.17,1.62,6.26,0.09,0,0,18.15,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35
