#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
435,Malevy Leons,BRDLY,35,34.5,13.8,4.5,9.2,0.488,1.2,3.6,0.341,3.6,4.6,0.783,2.4,4.7,7.1,1.3,1.5,1.5,1.7,2.8,
436,Cameron Hildreth,WF,35,34,13.8,4.7,10.3,0.454,1.1,3.3,0.351,3.3,4.1,0.804,0.4,4.3,4.7,2.4,1,0.2,2.1,2.5,
437,Ben Krikke,IOWA,34,28.5,13.8,5.5,10,0.547,0.2,0.5,0.333,2.7,3.6,0.74,1.7,3.1,4.8,1.4,0.9,0.3,1.1,2.4,
438,"Jerome Brewer, Jr.",TAMUC,19,29.5,13.8,5.2,10.5,0.49,1.4,4.6,0.299,2.1,2.8,0.741,1.1,3.6,4.7,0.6,0.9,1.5,1.5,2.1,
439,VonCameron Davis,KENT,33,29.2,13.8,5.3,10.9,0.485,1,2.9,0.33,2.3,3,0.75,1.5,3.5,5.1,1.4,1,0.2,1.5,3.1,
440,Tyrin Lawrence,VANDY,28,31.1,13.8,4.4,11.1,0.399,1,3.7,0.272,3.9,5.6,0.705,0.6,4.5,5.1,1.5,1.4,0.4,1.9,1.6,
441,Jaylen Murray,MISS,32,32.2,13.8,4.8,11.8,0.411,2.3,6,0.373,1.8,2.4,0.766,0.4,1.9,2.3,4,1.4,0.4,1.7,1.6,
442,Rob Brown III,NICH,32,34.4,13.8,4.5,10.5,0.429,2.5,6.1,0.408,2.3,2.9,0.777,0.5,2.6,3.1,1.6,0.8,0.2,1.7,1.7,
443,Yaxel Lendeborg,UAB,35,30.1,13.8,4.5,8.7,0.513,0.3,1,0.333,4.5,5.6,0.8,3.2,7.4,10.6,2.1,0.7,2.1,2,2.8,
444,Xavier Amos,NIU,25,30.9,13.8,5.2,10.4,0.496,1.6,4.2,0.385,1.8,2.8,0.648,1.4,4.4,5.8,1.2,0.8,1.3,2.3,2.8,
445,Shaquil Bender,MAN,25,31.8,13.8,5.2,13.6,0.381,1.9,5.5,0.341,1.5,1.8,0.804,0.8,2.5,3.2,1.6,1.2,0.2,2.5,2.1,
446,T.K. Simpkins,ELON,29,27.2,13.8,4.2,10.2,0.416,0.9,3,0.287,4.4,6,0.74,0.9,3.8,4.7,3.1,1.6,0.3,2.3,1.3,
447,A.J. Smith,USI,31,30.1,13.7,4.5,10.8,0.413,1,3.5,0.275,3.9,4.9,0.789,2.2,6.6,8.8,1.4,1.1,0.6,2.2,2.9,
448,Skylar Wicks,UIW,30,27.6,13.7,4.8,12.1,0.396,1.4,4.5,0.311,2.7,3.8,0.726,1.6,5,6.6,1.8,0.9,0.6,3.2,2,
449,Tyler Perkins,PENN,29,29.8,13.7,4.6,11.8,0.391,1.8,5.2,0.347,2.7,3.5,0.765,1.5,3.8,5.3,1.9,1.4,0.1,1.8,2.2,
450,Julian Reese,UMD,32,31.9,13.7,5,9.1,0.546,0,0,0,3.8,6.7,0.568,3,6.5,9.5,1.3,1,1.9,2.5,2.9,
451,Cliff Davis,NSU,31,31.4,13.7,4.6,11.5,0.399,3,7.6,0.392,1.5,1.8,0.842,0.8,2.8,3.6,1.7,1,0.1,1.3,1.8,
452,Keshon Gilbert,IWAST,37,30.9,13.7,4.4,10,0.438,1,2.8,0.346,4,5.5,0.728,0.8,3.5,4.4,4.2,2,0.1,2.8,2.3,
453,Chibuzo Agbo,BOISE,33,31.3,13.7,4.7,10.4,0.452,2.3,5.6,0.409,2,2.7,0.722,1.5,3.6,5.1,0.8,0.6,0.4,1.1,1.9,
