#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
553,Quinton Morton-Robertson,IPFW,36,29.5,13,4.1,9.7,0.42,2.9,7.2,0.404,1.9,2.3,0.864,0.3,2.4,2.8,2.3,1.3,0,1.1,1.9,
554,Donovan Clingan,UConn,35,22.6,13,5.3,8.3,0.639,0.1,0.2,0.25,2.3,4,0.583,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2,
555,Kasean Pryor,USOFL,32,26.3,13,4.1,9.1,0.447,1.2,3.3,0.352,3.7,4.6,0.815,1.5,6.4,7.9,1.8,1.2,0.7,1.7,2.2,
556,Brandon Angel,STAN,30,31.3,13,4.5,8,0.567,1.1,2.5,0.447,2.8,3.4,0.816,0.7,4,4.7,1.7,0.6,0.3,1.7,2,
557,Kintavious Dozier,GRAMB,36,26.5,13,4.5,10,0.446,1,3.2,0.322,3,4,0.762,0.7,2.3,3,1,1,0.2,1.6,0.9,
558,Rafael Pinzon,BRYNT,33,27.2,13,5,12.1,0.411,1.7,4.8,0.354,1.4,1.8,0.763,0.6,2.5,3.1,1.7,0.8,0.3,1.6,1.5,
559,Devon Barnes,TARST,35,27.7,13,3.9,9,0.432,1.6,4,0.397,3.6,4.2,0.857,0.2,1.8,2,2.2,1.3,0.1,1.1,2,
560,Amarri Monroe,QUIN,34,27.6,12.9,4.4,9.2,0.473,1.1,3.3,0.351,3.1,3.9,0.784,1.7,5.2,6.9,0.9,1.8,1,1.8,2.5,
561,Jamal Shead,U of H,37,31.1,12.9,4.8,11.7,0.409,1.2,3.8,0.309,2.2,2.8,0.779,0.9,2.8,3.7,6.3,2.2,0.5,2,2,
562,Oumar Ballo,ARZ,36,25.9,12.9,5.1,7.8,0.658,0,0,0,2.6,5.3,0.495,3.6,6.6,10.1,0.8,0.9,1.3,1.4,2.1,
563,"Daniel Skillings, Jr.",CINCY,36,28,12.9,4.8,11.4,0.421,1.1,3.9,0.284,2.2,3.3,0.669,2.4,4,6.4,1.6,0.9,0.7,1.7,1.9,
564,Lue Williams,TARST,35,33.5,12.9,4.7,10.5,0.454,1.1,3.4,0.311,2.4,3.1,0.761,1,3.4,4.4,1.3,1.3,0.3,1.4,2.1,
565,DaJuan Gordon,UTA,33,30.7,12.9,4.3,9.4,0.458,1.2,3.7,0.314,3.2,4.2,0.754,2,6.2,8.2,2.5,1.8,0.3,3,3,
566,Brandon Huntley-Hatfield,LVILL,32,30.8,12.9,4.9,8.7,0.567,0.3,0.7,0.429,2.8,4.2,0.672,2.6,5.8,8.4,1,0.6,0.8,1.7,2.3,
567,Josiah Davis,TNTCH,31,30.5,12.9,5.1,10.1,0.503,0.3,1.2,0.25,2.5,4,0.621,0.9,3.7,4.6,2.3,0.7,0.1,2.4,2,
568,"D.J. Burns, Jr.",NCST,41,24.9,12.9,5.6,10.6,0.531,0,0.1,0.2,1.6,2.4,0.68,1.3,2.7,4,2.9,0.4,0.6,1.9,2.4,
569,Latrell Jossell,SFA,30,27.5,12.9,3.9,9.5,0.406,1.7,4.6,0.374,3.4,4.1,0.831,0.4,1.6,2,2.3,1.6,0.2,2.3,2.3,
570,Jordan Mason,TXST,29,30.9,12.9,4.6,12,0.385,0.6,2.1,0.295,3,3.8,0.793,0.7,2.9,3.6,2.8,1.3,0.3,2.4,2.1,
571,Jaemyn Brakefield,MISS,32,29.3,12.9,4.2,8.8,0.477,1.2,3.3,0.362,3.3,4.3,0.765,1.5,3.5,4.9,2.4,0.8,0.5,1.6,2,
572,Andrew Morgan,NDSU,32,23.3,12.9,4.6,8.3,0.556,0.4,1,0.364,3.3,4.6,0.703,1.9,3.1,5,1,0.3,0.3,2,2.4,
573,Dylan Andrews,UCLA,32,35.1,12.9,4.8,12.1,0.395,1.5,4.5,0.324,1.8,2.3,0.808,0.4,1.8,2.2,3.7,0.8,0.1,1.9,1.8,
574,Chase Hunter,CLEM,36,32.8,12.9,4.4,10.5,0.424,1.3,4.2,0.311,2.7,3.1,0.85,0.5,2.1,2.6,3.2,0.7,0.3,1.8,1.8,
575,Grant Huffman,DAV,32,33.9,12.8,4.9,10.8,0.453,0.6,2.1,0.269,2.5,3.5,0.723,0.8,4.4,5.1,5.3,1.4,0.3,2.1,2.4,
576,Zach Anderson,FGCU,32,31.7,12.8,4.7,9.8,0.482,1.6,3.5,0.459,1.8,2.6,0.69,1.1,4,5.1,1.9,0.7,0.5,1.8,1.3,
577,Jackson Shelstad,OREG,32,32.7,12.8,4.9,10.9,0.45,1.5,4.4,0.345,1.5,1.8,0.857,0.4,2.4,2.8,2.8,0.7,0.2,1.6,1.5,
578,Rahsool Diggins,UMass,31,30.6,12.8,4.4,10.8,0.402,2.4,6.6,0.368,1.7,2.3,0.757,0.5,2,2.4,2.2,1.1,0.3,1.5,1.8,
579,Reyne Smith,C of C,35,25.9,12.8,3.8,9.3,0.41,3.2,8.1,0.394,2,2.4,0.855,0.3,1.9,2.1,1.7,0.5,0.1,0.7,1.3,
580,Deivon Smith,U of U,29,28.6,12.8,4.8,10.3,0.467,1,2.4,0.408,2.2,3.2,0.677,0.9,5.1,6.1,6.8,1.1,0.3,2.4,1.7,
581,Anthony Pritchard,CMU,29,33,12.8,5,11,0.451,0.5,2,0.263,2.4,3.2,0.742,0.9,4.3,5.1,4.7,1.7,0.1,2.9,1.7,
582,Josh Banks,UNCA,34,28.6,12.8,3.9,9.2,0.419,2,5.1,0.395,3.1,3.6,0.855,0.8,2.5,3.4,1.1,0.7,0.3,1.3,2,
583,Dontrez Styles,GTOWN,32,33.6,12.8,4.3,10.1,0.43,1.5,4.2,0.368,2.6,3.3,0.776,2.2,3.5,5.8,0.8,0.6,0.7,1.5,2.6,
584,Nijel Pack,UMFL,26,31.3,12.8,4.7,11.7,0.4,1.9,5.4,0.357,1.5,2,0.765,0.3,2.1,2.5,3.4,0.9,0.3,1.7,1,
585,"Igor Milicic, Jr.",CHAR,31,32.2,12.8,4.2,8.6,0.487,1.8,4.8,0.376,2.6,3.2,0.818,1.5,7,8.5,1.7,0.7,1.1,2,2.5,
586,Tre'von Spillers,APPST,34,29.1,12.8,5.5,9.1,0.604,0,0,0,1.9,2.7,0.685,3,5.8,8.9,0.4,0.7,1.3,0.8,1.4,
587,Gabe McGlothan,GCU,34,33,12.8,4.2,8.8,0.477,1.4,3.6,0.398,3,3.9,0.767,2.1,5.2,7.3,1.1,1.3,0.9,1.6,2.8,
588,Donovan Clay,MZZST,33,33.1,12.8,4.6,10.5,0.442,0.8,2.6,0.326,2.7,3.9,0.688,1.3,4.6,5.9,2.4,0.7,0.9,2,2.5,
589,Taryn Todd,ARKST,37,25.9,12.8,4.9,11.6,0.42,1.3,3.9,0.338,1.7,2.4,0.719,0.3,3.1,3.4,2.4,1,0.5,1.9,2.5,
590,Mika Adams-Woods,STBN,32,32,12.8,4.4,9.7,0.46,1.5,3.5,0.432,2.4,2.9,0.837,0.4,2.1,2.5,3.7,1,0.2,1.6,1.7,
591,Isaiah Adams,BUFF,26,32.8,12.8,5,12.6,0.399,1.3,5.7,0.228,1.4,2,0.706,0.5,3.5,4,3.7,1,0.4,3.2,2.9,
592,Collin Holloway,TULAN,30,29.1,12.8,4.2,8.4,0.504,0.7,2,0.339,3.6,4.8,0.752,1,3.3,4.3,1.4,0.6,0.9,1.4,2.9,
593,Sai Witt,APSU,34,21.4,12.8,4.4,8.2,0.536,0,0,0,3.9,6.3,0.623,2.9,2.7,5.6,0.7,0.6,0.4,1.7,2.8,
594,Pelle Larsson,ARZ,36,30,12.8,4.5,8.7,0.519,1.3,3,0.426,2.4,3.2,0.75,1.1,3,4.1,3.7,0.9,0.2,1.9,2.6,
595,Tae Williams,CLEST,36,28.7,12.8,5.5,11.2,0.49,0.2,0.8,0.233,1.6,3.5,0.441,2.3,3.7,6,1.9,1.3,0.3,2,2.5,
596,Christian Brown,TNST,28,25.2,12.8,3.9,8.9,0.444,1.6,4.4,0.363,3.3,4.1,0.807,1.3,2.1,3.4,0.7,1.1,0.3,1.6,2.2,
597,Anderson Mirambeaux,MIAMI,23,21,12.7,4.8,9.8,0.487,0.8,2.3,0.346,2.4,4,0.591,0.8,2.7,3.4,1.8,0.5,0.6,2,2.3,
598,O'Mar Stanley,BOISE,33,26.3,12.7,4.6,8.6,0.537,0.5,1.5,0.313,3.1,4,0.759,2.8,3.8,6.6,1.5,0.7,1.2,1.8,3.1,
599,Matt Allocco,PRIN,29,33.7,12.7,4.3,8.6,0.508,1.6,3.8,0.427,2.4,2.7,0.909,0.4,2.5,2.9,3.3,0.7,0.1,1.3,1.8,
600,Abdoulaye Thiam,HP,36,27.6,12.7,4.3,9.9,0.433,1.7,4.6,0.361,2.4,2.9,0.83,0.8,2.7,3.4,0.9,0.6,0,1.5,1.8,
601,Julien Soumaoro,GWU,31,28.7,12.7,4.2,10.3,0.403,2,5.7,0.358,2.4,3.3,0.709,0.3,2,2.3,2.6,1.1,0,2.1,2.5,
602,Ryan Langborg,NWU,32,33.4,12.7,4.5,10.2,0.44,2.3,5.3,0.421,1.5,1.9,0.774,0.6,2.4,3,2.5,1.3,0.2,0.9,2.4,
603,Reed Bailey,DAV,32,28.3,12.7,4,9.5,0.424,0.4,1.9,0.217,4.2,5.3,0.804,1.8,4,5.8,1.4,0.7,0.3,1.6,2.6,
604,Tyrell Jones,USA,32,31.7,12.7,3.7,9.1,0.403,1.4,4.2,0.343,3.9,5.1,0.778,0.5,3.3,3.8,2,1.5,0.1,2.1,1.7,
605,John Christofilis,SEA,28,29.5,12.7,4.6,11.1,0.417,2.3,5.8,0.398,1.1,1.5,0.738,0.3,1.9,2.3,0.5,0.5,0,1.2,0.8,
606,Xzayvier Brown,STJOE,35,30.7,12.7,4.3,9.3,0.46,2,4.9,0.404,2.1,2.7,0.796,0.4,3.6,4,3.3,1.8,0.1,1.9,2,
607,Malik Hall,MCHST,35,28.7,12.7,4.7,9,0.525,0.6,1.7,0.328,2.6,3.6,0.728,1.7,4,5.7,1.9,0.5,0.3,1.4,2.3,
608,Caleb Robinson,GWU,32,24.3,12.7,4.5,10.5,0.433,0.4,1.5,0.25,3.2,5.5,0.582,2.1,4.5,6.6,1.3,0.9,0.6,1.6,3.1,
609,Tyran Cook,VMI,32,28.5,12.7,5,12.1,0.41,1.1,3.3,0.34,1.6,2.3,0.68,0.7,2.1,2.8,2.4,0.6,0.1,2.5,1.1,
610,Eric Acker,LIU,26,33.4,12.7,4.9,12.6,0.387,1.1,3.8,0.283,1.8,2.7,0.662,0.9,2.8,3.7,3.8,0.6,0.1,3.3,1,
611,"Russell Jones, Jr.",WCU,31,31.3,12.6,4.5,10.1,0.441,2.6,6.3,0.412,1.2,1.5,0.766,0.2,2,2.2,1.4,1,0,0.7,2.2,
612,Brandon Davis,SUBR,32,30,12.6,3.9,9.6,0.41,2.2,5.8,0.373,2.6,3.4,0.769,0.9,2.4,3.3,2.1,1.1,0.1,1.5,1.7,
613,Justin Hohn,UCI,34,27.2,12.6,4.6,10.1,0.449,1.8,4.8,0.377,1.7,2.5,0.674,0.2,2.7,2.9,1.5,0.9,0,1.4,1.5,
614,Davion Bailey,BLLST,26,32.8,12.6,4.5,10.2,0.44,2.5,5.9,0.425,1.1,1.3,0.829,0.2,3.5,3.7,1.5,1,0.1,1,2.2,
615,Demond Robinson,KENN,31,27.3,12.6,5.2,9.8,0.525,0.9,2.9,0.326,1.4,2.2,0.627,2.9,4.5,7.4,0.9,1.1,0.9,1.2,2.5,
616,Kellen Tynes,MAINE,31,34.9,12.6,4.7,11.5,0.414,0.5,2.3,0.239,2.6,3.8,0.684,0.7,2.9,3.6,3.6,2.3,0.4,2.3,2.3,
617,Chris Payton,KENT,28,27,12.6,4.4,9,0.49,0.3,0.8,0.381,3.5,5.2,0.678,2.5,4.9,7.4,1.5,0.9,1.1,1.9,2.2,
618,Blake Lampman,OAKL,28,34.6,12.6,4,10.6,0.378,3.1,8.5,0.363,1.5,1.7,0.915,0.7,2.5,3.2,3,1.1,0.7,1.6,1.8,
619,Des Watson,L-IL,33,31.4,12.6,4.3,10.6,0.407,1.8,4.6,0.386,2.2,3.3,0.645,1.1,3.6,4.6,2.5,1,0.2,1.8,1.9,
620,Ryan Nembhard,ZAGS,35,35.7,12.6,4.7,10.6,0.445,1,3.1,0.321,2.2,2.9,0.752,0.5,3.5,4,6.9,1.2,0,2.3,1.7,
621,John Ojiako,CCU,30,27.3,12.6,5.3,8.4,0.637,0,0,0,1.9,3.3,0.592,3.4,7.3,10.6,0.9,0.8,1,1.6,2.9,
622,Emanuel Sharp,U of H,37,28.3,12.6,3.6,9.8,0.373,2.2,6,0.368,3.1,3.6,0.851,0.9,2.6,3.5,0.9,1.5,0.1,1.1,2.6,
623,Brett Thompson,YSU,32,31.1,12.6,4.2,9.9,0.42,1.5,4.7,0.32,2.8,3.5,0.802,0.6,2.3,2.8,4.1,1.1,0.1,2,1.9,
624,Casey Jones,EWASH,32,26.6,12.6,3.5,7,0.507,0.7,1.9,0.344,4.9,6.8,0.712,0.8,3.6,4.4,1.8,1,0.5,2.2,2.3,
625,K.J. Adams,KU,34,33.4,12.6,5.2,8.7,0.601,0,0.1,0,2.1,3.5,0.6,1.5,3.1,4.6,3.1,1.1,0.6,1.8,2.4,
626,Barrington Hargress,UCR,34,31.6,12.6,4.8,11.6,0.411,0.9,3,0.311,2.1,3.1,0.673,0.4,2.7,3.1,4.5,1.3,0.1,1.4,1.8,
627,Max Brooks,UML,31,26.4,12.6,5.2,8.4,0.621,0,0.1,0,2.1,3.3,0.653,2.3,5,7.3,1.6,0.8,2.1,1.7,2.7,
628,"Keith Higgins, Jr.",LEHI,23,25.9,12.6,4.7,10.7,0.437,1.6,4.8,0.324,1.6,1.9,0.841,0.5,3.1,3.6,1.7,1.4,0.3,0.7,1.7,
629,Quincy Anderson,MRRY,32,27,12.6,4.4,9.6,0.459,1.8,4.6,0.395,1.9,2.7,0.729,0.8,3.7,4.4,1.1,1,0.2,1.1,1.7,
630,Mike James,LVILL,32,33.3,12.6,3.8,9.5,0.396,1.1,3.3,0.34,3.9,4.8,0.818,1,4,5,1.5,0.6,0.2,1.8,2.5,
631,Jaylen Wells,WSU,34,29.2,12.6,4.1,9.4,0.436,2.1,4.9,0.417,2.3,2.9,0.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,
632,Philip Alston,L-IL,29,24.3,12.6,4.5,9.9,0.451,0.6,2.3,0.25,3,4.7,0.635,1.6,3,4.6,0.8,0.6,0.7,2,2.6,
633,Jonathan Beagle,ALBNY,22,30.7,12.5,4.9,8.3,0.585,0,0.3,0.143,2.8,4.1,0.67,2.8,6.7,9.5,1.6,1,0.4,2.8,2.2,
634,Jordan O'Neal,JKSN,30,29.2,12.5,5.1,8.4,0.606,0.2,0.6,0.368,2.2,3.3,0.657,2.5,3.6,6,1.1,0.6,1.4,1.5,3,
635,Isiah Gaiter,USA,32,30.6,12.5,4.6,9.9,0.459,0.9,2.5,0.375,2.5,3.1,0.806,0.8,2.4,3.3,1.8,1,0.2,1.8,2.2,
636,Erik Pratt,UWM,34,27.4,12.5,4.4,10.8,0.41,2.1,5.7,0.361,1.6,2.1,0.8,0.9,2.4,3.3,2.2,0.5,0.3,1.3,1.6,
637,Jacobi Wood,MRRY,32,36,12.5,4.2,9.3,0.45,1.6,4.3,0.374,2.5,3,0.825,0.5,3.5,4,4.1,1.2,0.1,2,2.3,
638,Max Zegarowski,STONE,30,34.6,12.5,4.3,10.4,0.418,2,5.7,0.345,1.9,2.4,0.778,0.8,4,4.8,1.8,0.4,0.3,1.3,0.8,
639,Neal Quinn,RICH,33,27.6,12.5,5.4,10.2,0.53,0.2,0.4,0.357,1.5,2.1,0.729,1,4.4,5.4,3.9,0.5,1.3,1.7,2.2,
640,Chris Manon,COR,29,22.1,12.5,4.9,8.6,0.564,0.8,2.3,0.338,2,2.8,0.713,1.1,2.9,4,3,2.2,0.6,2.1,3.3,
641,Vukasin Masic,UP,32,32.5,12.5,4.5,9.5,0.469,1.6,4,0.403,1.9,2.5,0.763,0.2,4,4.2,2.9,0.7,0,2,1.1,
642,Quinn Denker,IDAHO,32,33,12.5,4.5,11.4,0.393,1.5,4.4,0.34,2,2.4,0.844,0.5,2.8,3.3,3.7,0.6,0.1,2.1,2.4,
643,Josiah Hammons,UIW,30,29.4,12.5,3.6,9.7,0.372,2.7,7.6,0.355,2.6,3.1,0.828,0.4,2.9,3.3,1.2,0.8,0.2,1.4,2.2,
644,Braeden Smith,COLGT,35,30.3,12.5,4.2,10.8,0.393,1.5,4.8,0.311,2.5,3.2,0.786,0.3,5.2,5.5,5.6,1.9,0.1,2.3,1.4,
645,Reed Sheppard,UK,33,28.9,12.5,4.3,8,0.536,2.3,4.4,0.521,1.6,2,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2,1.9,
646,Chase Lowe,W&M,33,26.8,12.5,4.4,8.4,0.525,0,0,1,3.6,5.5,0.663,2.7,4.7,7.3,3.2,1,0.2,2,2.6,
647,Maximus Edwards,GW,31,28.1,12.4,4.5,10.6,0.427,1.7,4.8,0.358,1.7,1.9,0.867,1.3,5.4,6.6,1.2,0.7,0.4,2.2,1.8,
648,Terrance Williams II,MICH,31,33.2,12.4,4,9.3,0.433,1.7,4.2,0.397,2.7,3.5,0.761,1.5,2.9,4.5,1.5,0.6,0.4,1.1,1.8,
649,Justin Moore,DREX,31,28.6,12.4,4.5,11.6,0.386,1.1,3.4,0.311,2.4,3.2,0.755,0.4,3.2,3.6,3.5,1.1,0.2,2.3,2,
650,Noa Gonsalves,UTECH,31,35.5,12.4,4.4,9.7,0.453,2.1,5.5,0.384,1.5,1.9,0.783,0.3,2.7,3,1.5,1.1,0.1,1.7,1.7,
651,Dayvion McKnight,XAV,34,34.2,12.4,4.6,9.8,0.467,0.9,2.5,0.372,2.3,2.8,0.813,0.4,3.4,3.7,4.8,1.5,0.1,1.6,1.9,
652,Jaylin Williams,AUB,34,24.2,12.4,4.5,7.8,0.574,1,2.5,0.395,2.5,3,0.832,1.1,3.4,4.4,1.9,0.7,0.7,1.1,1.8,
653,Justin McKoy,HAW,34,30.9,12.4,4.1,8.6,0.474,1.4,3.9,0.368,2.8,3.2,0.872,1.1,4.9,6.1,1.6,0.6,0.5,1.9,2.2,
654,K.J. Doucet,WIN,32,23.9,12.4,4,9.1,0.443,1.6,4.5,0.354,2.8,3.8,0.715,1.2,3.1,4.3,1.4,0.6,0.3,2,3,
655,Carson Basham,NAU,33,24.6,12.4,5.1,8.7,0.587,0,0.2,0,2.2,3.9,0.57,1.8,4.9,6.7,1.2,0.7,1.6,2,2.9,
656,Adem Bona,UCLA,33,26.6,12.4,4.6,7.9,0.588,0,0,0,3.1,4.5,0.696,2,3.9,5.9,1.2,1.1,1.8,2.5,3.6,
657,Elias King,MTSU,33,32.4,12.4,4.4,10.9,0.401,2,6.1,0.327,1.7,2.4,0.696,0.9,3.6,4.5,0.9,0.7,0.6,1.7,1.7,
658,Malik Thomas,SANFR,33,23.1,12.4,4.2,8.8,0.474,1.5,3.6,0.4,2.6,3.1,0.861,0.6,2.1,2.7,0.5,0.8,0,0.9,2.1,
659,Tamin Lipsey,IWAST,36,31.3,12.4,4.3,10,0.428,1.3,3.2,0.391,2.6,3.7,0.705,1.3,3.3,4.6,4.9,2.7,0.1,2.1,2,
660,Kareem Thompson,ORU,31,38.2,12.4,4.5,11.5,0.39,2.1,5.7,0.369,1.3,2.1,0.621,1,5.9,6.9,3.6,1.5,0.4,2.3,1.5,
661,Baye Ndongo,GT,29,27.8,12.4,5.1,9.1,0.558,0.1,0.4,0.333,2,3,0.67,2.6,5.7,8.2,1,0.8,1.1,2.6,2.8,
662,Myles Foster,ILLST,32,28.3,12.4,4.8,9.2,0.525,0,0.4,0.077,2.7,4.2,0.634,2.6,5.5,8.1,1.7,0.7,0.8,1.6,2,
663,E.J. Bellinger,TNST,33,25.6,12.4,4.4,9.4,0.472,1.5,3.9,0.375,2.1,2.6,0.8,1.4,3.7,5,1.2,0.6,0.4,1.5,2.6,
664,J.T. Toppin,UNM,36,26.6,12.4,5.4,8.6,0.623,0.3,0.9,0.344,1.3,2.4,0.565,3.7,5.4,9.1,0.6,1.1,1.9,0.9,2.6,
665,Augustas Marciulionis,STMRY,34,33.2,12.4,4.4,9.9,0.438,1.1,3.2,0.343,2.6,3.4,0.763,0.6,2.7,3.3,5.3,1.4,0.2,2,2.2,
666,Rienk Mast,UNL,32,29.8,12.3,4.6,10.7,0.433,1.3,3.8,0.344,1.8,2.1,0.838,1.9,5.6,7.5,3,0.4,0.5,1.8,2,
667,Noah Williamson,BUCK,32,27.2,12.3,4.6,9.2,0.495,0.8,2.3,0.329,2.5,3.8,0.642,1.7,4.7,6.4,1.2,0.3,1,2,2.5,
668,Darius Brown II,USU,35,36.1,12.3,4.3,9.7,0.446,1.8,4.6,0.398,1.8,2.1,0.865,0.6,3.7,4.3,6.5,1.5,0.2,1.9,1.3,
669,Justice Williams,RMU,31,30.2,12.3,4.4,12,0.368,1.6,5.1,0.314,1.9,2.3,0.829,0.7,2.3,3,2.5,0.8,0.3,2.4,1.5,
670,Nika Metskhvarishvili,ULM,28,28.5,12.3,4.6,10.9,0.425,0.9,3.6,0.257,2.1,3.1,0.678,2.4,3.4,5.8,2,1,0.6,2.5,2,
671,Ishmael Leggett,PITT,32,28.6,12.3,4.4,10.3,0.427,1.1,3.2,0.343,2.5,2.9,0.859,1.7,3.8,5.5,1.9,1.3,0.2,1.3,1.8,
672,Tre White,LVILL,29,31.3,12.3,4.4,9.8,0.456,0.8,2.7,0.299,2.6,3.5,0.752,1.4,4.5,5.9,1.3,0.8,0.4,1.8,2.3,
673,Ven-Allen Lubin,VANDY,26,28.1,12.3,4.5,9.1,0.5,0.5,1.5,0.333,2.7,3.7,0.732,2.5,3.9,6.3,0.5,0.6,1,1.2,2,
674,Marquel Sutton,OMAHA,33,31.8,12.3,4.9,10.1,0.485,0.4,1.5,0.286,2.1,3.4,0.625,2.2,4.2,6.3,0.8,0.9,0.3,1.8,2.3,
675,Alex Sobel,HEART,31,26,12.3,4.8,8.2,0.588,0,0,0,2.6,3.9,0.675,2.8,4.6,7.4,1.7,1.2,2.8,1.3,3.2,
676,Camian Shell,NC A&T,31,34,12.3,3.8,10.1,0.379,1.1,3.5,0.308,3.5,4.1,0.866,0.3,2.5,2.8,4.1,1.3,0.1,1.8,2,
677,Eric Gaines,UAB,35,33.7,12.3,4.1,10.4,0.393,1.1,4.1,0.269,3,4,0.75,0.7,3.2,3.9,5.5,2.3,0.5,2.4,2.1,
678,Keylan Boone,UNLV,28,30.2,12.3,4.3,10.3,0.419,2,5.6,0.35,1.7,2.3,0.734,1.6,4.9,6.5,1.3,0.8,1,1.1,2.4,
679,Bostyn Holt,SODAK,32,31.2,12.3,4.5,9.9,0.45,0.6,1.4,0.391,2.8,4.1,0.679,0.9,3.7,4.5,3.1,0.5,0.2,2.1,1.8,
680,Quinn Slazinski,WVU,32,28.9,12.3,3.9,9.8,0.398,1.4,4.2,0.343,3,3.8,0.802,0.8,3.3,4.1,2.2,0.4,0.2,1.9,1.8,
681,Isaac McKneely,UVA,33,32.3,12.3,4.2,10.2,0.409,2.5,5.5,0.445,1.5,1.8,0.847,0.2,2.8,3,1.6,0.6,0.2,1,1.5,
682,Kalil Thomas,MRHD,34,31.9,12.3,4.1,9.1,0.444,3.1,7.2,0.429,1.1,1.2,0.857,0.7,3.6,4.3,1.4,0.7,0.1,1,2.1,
683,Darius Beane,LIND,31,31.8,12.3,4.7,10.9,0.436,0.1,0.4,0.308,2.6,3.6,0.732,0.5,2.9,3.4,2.4,1.2,0.1,2.1,2.6,
684,Alex Huibregtse,WRST,32,33.1,12.3,4.7,8.9,0.525,1.9,4.5,0.417,1.1,1.3,0.829,0.3,3.5,3.8,3.3,0.8,0.2,1.5,2.2,
685,Mackenzie Mgbako,IU,33,27,12.2,4,10.1,0.395,1.5,4.6,0.327,2.8,3.4,0.821,1,3.1,4.1,1.3,0.4,0.4,1.2,2.4,
686,Joe Toussaint,TXTCH,34,33.4,12.2,3.8,9.4,0.4,1,3.4,0.296,3.7,4.3,0.863,0.5,2.1,2.6,4.3,1.4,0,2.2,2.3,
687,Tommie Lewis,TAMUC,30,29.5,12.2,4,9.7,0.411,2,5.9,0.345,2.2,3,0.733,0.7,3.5,4.2,2.3,1.7,0.6,1.8,2.7,
688,Caleb Fields,ARKST,35,32.4,12.2,3.9,9.2,0.43,0.9,2.7,0.323,3.5,5.4,0.642,0.6,2.4,3,5.8,0.8,0,2.3,1.9,
689,Mason Walters,UWYOM,22,32.7,12.2,4.2,9.8,0.433,0.4,2,0.182,3.4,4.2,0.815,1.6,3.8,5.4,2,1,0.3,2.3,3.1,
690,Jabri Abdur-Rahim,UGA,29,25.9,12.2,3,8.3,0.361,2.1,6,0.356,4.1,4.6,0.887,0.8,2.7,3.5,0.3,0.8,0.3,1,2.4,
691,Nick Davidson,UNR,34,29,12.2,4.4,8.1,0.545,0.8,2.6,0.292,2.6,3.4,0.757,1.8,5.5,7.3,1.4,0.7,0.7,1.3,2.5,
692,Amari Kelly,GMU,31,28.5,12.2,4.5,8.2,0.549,0.8,1.9,0.424,2.4,3.1,0.76,2.2,4.1,6.3,1.1,0.5,1.3,2.3,3.1,
693,Harrison Ingram,UNC,37,32.7,12.2,4.4,10.2,0.43,1.8,4.6,0.385,1.6,2.6,0.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,
694,Javan Simmons,U of T,32,31,12.2,4.7,8.6,0.54,0.3,0.8,0.32,2.6,3.6,0.737,2,3,5,1.5,0.5,0.9,1.1,3.1,
695,Jalen Bridges,BAYL,35,31.8,12.2,4.1,8.8,0.466,2.1,5.1,0.412,1.9,2.3,0.823,1.9,3.7,5.7,1.4,1.1,0.6,1,1.5,
696,Nique Clifford,COLST,36,30.3,12.2,4.6,8.9,0.522,1.1,3,0.376,1.8,2.3,0.759,1.1,6.6,7.6,3,1.4,0.9,1.8,2.8,
697,Amari Williams,DREX,32,22.8,12.2,4.3,8.4,0.517,0,0.1,0.333,3.4,5.3,0.655,2.5,5.3,7.8,1.9,0.8,1.8,2.4,1.4,
698,Keeshawn Kellman,FGCU,32,24.6,12.2,5,7.3,0.684,0,0.2,0,2.2,3.1,0.69,3.1,3.9,7,0.9,0.3,1.2,2,2.6,
699,Ethan Price,EWASH,32,26.1,12.2,4.2,8.1,0.521,1.3,3.3,0.374,2.5,3.2,0.782,0.5,3.6,4,2.2,0.5,0.8,2.2,2.3,
700,Isaiah Moses,UCR,33,29.9,12.2,4.1,10.3,0.399,1.6,4.8,0.329,2.3,2.8,0.846,0.5,2.4,2.9,3.8,0.9,0,2.2,1.7,
701,Max Rice,BOISE,33,31.9,12.2,3.8,10.3,0.372,2.2,6.4,0.349,2.2,2.6,0.839,0.6,3.1,3.7,1.8,0.9,0,1.6,2.5,
702,Christian Shumate,MCNST,34,29.1,12.1,4.9,8.7,0.561,0.3,1.1,0.231,2.1,4.6,0.465,3.6,5.9,9.5,0.9,0.9,1.4,1.4,2.6,
703,Eli Stephens,AMERU,29,30.1,12.1,4.4,9.6,0.46,1.1,3.2,0.33,2.2,2.7,0.823,0.3,1.8,2.1,4.9,1.3,0.1,2.3,2,
704,Alex Merkviladze,LOYMR,30,30.9,12.1,4.1,10,0.41,1.7,4.8,0.352,2.2,3,0.744,1.3,5.9,7.2,1.5,0.6,0.3,1.4,2.2,
