Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
DQ Nicholas,G,33,31,12,4.1,10.2,39.8,1.4,3.9,35.9,2.5,3.8,64.8,4,2.8,0.8,0.2,1.8
Isaiah Hill,G,32,35.9,12,4.3,11.2,38.5,1.6,5.1,30.7,1.8,2.2,81.4,3.4,6,1.3,0.1,2.3
AJ Braun,F,32,25.7,12,5.1,7.4,68.9,0,0,0,1.7,2.9,59.8,6.2,0.9,0.3,1.1,1.7
Tony Felder,G,30,29.3,12,4,11.4,35,2.2,7,31.1,1.8,2.5,73,3,2.8,1.3,0.1,2
Tana Kopa,G,29,32.3,12,4.2,11.3,37.6,2.1,6.4,33,1.4,1.7,83.3,3.9,1.1,0.8,0.6,1.7
Jordan Riley,G,33,29,11.9,4.4,10.2,43.2,0.6,2.4,25.6,2.5,3.5,70.7,6,1.1,1.1,0.8,1.7
Tytan Anderson,G,33,28.4,11.9,3.8,7.7,50.2,0.2,0.8,25,4,5.8,69.6,7.1,2,1.3,0.6,1.4
Caleb Kenney,F,33,27.1,11.9,5.3,9.2,57.6,0,0,0,1.4,2.4,58.2,6.5,1.4,0.8,2.2,1.8
Sean Moore,F,32,30.1,11.9,4.3,10.8,40.3,1.5,4.8,31.8,1.7,2.3,73.3,7.6,1.6,1,0.5,1.6
Raheem Anthony,G,32,29.6,11.9,3.9,8,49,1.1,2.5,44.3,3,4.1,72,4.8,3.3,1.4,0.1,2.5
Rob Martin,G,31,28.5,11.9,4.5,10.5,42.3,1.3,3.3,39.2,1.7,2,88.5,2.2,3.5,0.8,0,2.3
Brian Myles,F,30,29.5,11.9,4.8,8.5,55.9,0.2,0.7,35,2.2,3,71.4,9.3,1.2,1.4,1.1,1.7
Elias Cato,F,28,28.8,11.9,4.3,9.3,46.4,0.8,2,41.8,2.5,3.4,71.9,6.1,1,0.9,0.9,2
Noah Freidel,G,36,30.1,11.9,3.8,8.8,43.2,2.3,5.9,38.4,2.1,2.4,85.1,5.3,1.7,0.9,0.9,0.9
Ben Burnham,F,35,22.2,11.9,4.5,9.7,46.4,1.3,3.6,36.8,1.6,2.3,69.5,4.5,0.9,0.9,0.5,1
Lassina Traore,F,35,30.3,11.9,4.4,8.4,52.4,0,0.1,25,3.1,4.4,69.7,10.3,1.2,0.8,0.5,1.9
Rob Perry,G,32,30.3,11.9,4.5,11.3,39.9,1.3,4.6,29.5,1.6,2.1,73.5,5.1,2,1,0.3,1.3
Madison Durr,G,32,33.7,11.9,3.9,9,42.9,0.5,1.9,27.4,3.6,4.8,75.8,4.2,3.3,0.9,0.3,2.2
Grant Nelson,F,37,25.6,11.9,3.9,8,48.8,0.8,3,27.3,3.3,4.1,81.3,5.9,1.5,0.6,1.6,1.4
Zee Hamoda,G,34,29.1,11.9,4,10.2,39.6,1.9,5.6,34,1.9,2.4,78.3,4,1.7,1.2,0.3,2.6
Jan Zidek,F,33,21.5,11.9,3.9,8,48.3,1.4,4.1,34.6,2.7,3.3,82.4,3.4,1.2,0.3,0.1,1.1
Hosana Kitenge,F,33,26.3,11.9,4.7,8.4,56.2,0,0.1,33.3,2.5,3.9,63.3,6.5,1.9,1.2,0.9,1.6
Moses Wood,F,32,32.6,11.9,3.8,9.1,42.1,2.5,6.3,39.6,1.7,1.9,87.1,4.5,0.8,0.6,0.6,0.9
Darweshi Hunter,G,32,30.1,11.9,3.9,9.9,39.9,2,5.6,35.6,2,2.4,83.1,4.3,1.6,0.8,0.1,1
Drake Allen,G,30,29,11.9,4.5,10.1,44.4,0.5,2.3,23.2,2.4,3.8,63.2,3.4,4.3,1.5,0.4,2
Samuel Tabe,G,29,22.5,11.9,4.5,8.4,53.1,0,0.1,0,2.9,3.8,76.4,3.9,1.1,0.7,0,1.8
Tra'Michael Moton,G,36,29.4,11.9,4,9.9,40.1,1.3,3.4,37.1,2.6,3.3,80.5,2.9,2.7,1.7,0.1,2.2
Zach Cleveland,F,32,28.7,11.8,4.7,7.9,59.3,0,0.3,12.5,2.4,4.5,54.2,6.3,4,0.9,1.2,2.8
Dwon Odom,G,31,28.9,11.8,4.5,8.7,51.9,0.2,0.5,42.9,2.6,3.2,81,5,4.6,0.7,0.5,1.7
Kellen Amos,G,31,31.3,11.8,4,10.4,38.7,1.5,5.4,27.5,2.3,3.1,74.7,5.2,2.3,1.1,1.1,1.9
Justin Bailey,G,30,28.7,11.8,3.8,9.1,41.5,1.4,4.4,31.3,2.9,3.9,74.6,3.3,1.1,1.4,0.1,1.3
Seydou Traore,F,28,32.4,11.8,4.7,10.9,43.3,0.8,3.2,25.6,1.6,2,80,8.2,2.3,1.5,1.3,1.8
Freddy Hicks,G,28,25.5,11.8,3.8,9.1,41.8,0.6,2.4,25.4,3.5,4.8,73.3,5.4,2.1,0.8,0.6,2
Tayton Conerway,G,32,20,11.8,3.9,8.2,47.5,0.8,2.6,32.9,3.1,4.4,70.9,2.8,2.5,2.1,0.3,2.3
Zakai Zeigler,G,36,31.6,11.8,3.7,9.5,39.3,2,5.8,34.4,2.3,3.3,70.6,2.8,6.1,1.7,0.1,2.2
Simas Lukosius,G,35,30.1,11.8,3.9,9.8,39.2,2.6,6.7,38.5,1.5,1.8,82.5,3.1,2.9,0.5,0.2,2
Mitchell Saxen,C,34,28.2,11.8,4.6,8.4,54.4,0,0,0,2.6,4.3,61.2,7.6,1.5,0.7,1.3,1.6
Hunter Jack Madden,G,34,32.6,11.8,3.5,8.8,39.3,1.9,4.8,38.9,3,3.7,80.8,3,2,1.1,0,1.6
Maleek Arington,G,34,37.3,11.8,3.6,8.8,40.3,0.6,2.4,25.9,4,5.5,72.9,3.4,4.8,2.3,0.1,2.4
Dillon Bailey,G,32,27.2,11.8,3.7,8.6,42.4,2,5.6,35.6,2.4,3.4,72.2,2.3,1.5,0.5,0,1.5
Jaxson Baker,F,31,30.2,11.7,3.9,9.5,41.6,2.1,5.9,35.9,1.7,2.2,80.6,6.6,0.7,1.1,0.7,0.8
Bernardo da Silva,F,34,26.8,11.7,4.4,7.4,60.4,0,0,0,2.9,5.6,51.3,7,1.2,0.6,0.8,1.2
Nate Santos,F,33,33.5,11.7,3.9,8.3,47.1,1.5,3.7,41.8,2.4,3.2,75,6.3,1.5,0.7,0.2,1.4
Brock Wisne,F,33,26.7,11.7,4.8,7.8,61.6,0.2,0.7,33.3,1.8,2.5,74.4,4.3,1.5,0.7,0.3,1.5
Caleb Stone-Carrawell,F,32,27.7,11.7,4.3,10.8,39.7,1.3,3.9,33.9,1.8,2.6,70.2,3.4,1.6,0.3,0.2,1.6
Brandon Rush,G,32,26.5,11.7,4.1,10.5,38.6,2.3,7.2,32.2,1.3,1.5,83.7,4.1,0.7,1.1,0.3,1.1
Lance Jones,G,39,28.6,11.7,3.9,9.6,41.3,2.1,5.7,35.7,1.8,2.4,74.2,2.7,1.9,1.3,0.2,1.5
Spencer Jones,F,25,29,11.7,4,9,43.8,2.2,5.3,40.9,1.6,2.5,64.5,4.1,2,1.4,0.8,1.3
Trey Robinson,G,33,31.3,11.7,4.3,9.7,43.9,0.6,2.5,22.9,2.5,3.8,67.2,7,1.9,1.8,0.3,1.9
Luke Appel,F,35,26.2,11.7,4.6,8.8,52.1,0.5,1.2,41.9,1.9,3.1,62.4,4.5,1.6,0.3,0.1,2
Brendan Wenzel,G,31,35.5,11.6,3.6,9,40.5,2,5.4,37.7,2.3,2.9,80.9,5.1,1.5,0.8,0.2,1.2
Aubin Gateretse,C,35,24.2,11.6,4.7,6.5,71.2,0,0.1,50,2.3,3.7,62,7.6,0.8,0.5,1.5,1.7
Juwan Gary,F,28,27.1,11.6,4.4,8.8,49.8,0.9,3,30.6,2,2.9,67.9,6.1,1.3,1.1,0.8,0.7
DeAntoni Gordon,F,33,30.8,11.6,4.9,9.4,52.1,0.3,0.9,34.5,1.5,2.3,68,4.7,1.3,0.8,0.8,1.4
J'Vonne Hadley,G,36,34.3,11.6,3.9,7.3,53.8,0.6,1.3,41.7,3.2,3.8,83.9,6,2.4,1.2,0.3,1.3
Jordan Dingle,G,31,25,11.6,4.4,10,44,1.5,4.8,31.1,1.3,1.8,74.5,2,1.7,0.8,0.1,1.3
Devon Ellis,F,26,26.6,11.6,4.5,9,49.8,0.2,0.8,25,2.5,3.5,69.6,4.4,0.7,0.7,0.4,1.7
Mark Mitchell,G,33,28.7,11.6,4.1,7.6,54,0.3,1.2,27.5,3,4.8,62.3,6,1.1,0.8,0.7,1.2
Matt Knowling,F,28,28.2,11.6,5,8.8,56.7,0,0.3,14.3,1.6,2.6,60.8,4.9,2.6,0.5,0.3,0.9
DJ Campbell,G,32,29.5,11.6,4.6,8.6,52.9,0.8,1.9,41,1.7,2.3,72.6,3.7,1.5,0.7,0.2,1.3
Dischon Thomas,F,36,27.8,11.6,4,8.7,45.8,1.6,3.9,40.8,2,2.5,79.1,5.4,1.6,0.6,1,1.3
Lazar Stefanovic,G,33,34.6,11.5,3.7,9.6,38.5,1.8,4.5,38.9,2.4,2.8,86.8,6.1,1.6,1.1,0.1,1.1
Chris Pryor,G,33,27.3,11.5,3.8,8.9,43.1,1.9,4.8,39.2,2,2.4,82.3,2.4,3.6,1.4,0.1,1.5
Trey Thomas,G,28,32.8,11.5,3.5,9.9,35.4,2.1,6.5,31.7,2.5,3,83.1,2.7,2.4,1.2,0.1,1.3
Cormac Ryan,G,36,30.3,11.5,3.6,9.3,38.2,2.1,5.9,35.4,2.3,2.6,87.4,2.8,1.2,0.7,0.4,1.2
Allen Betrand,G,34,24,11.5,4.1,8.8,46.7,1.1,3.1,37.5,2.1,2.5,84.7,2.8,1.2,0.8,0.2,1.4
