RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
29,Norman Powell,Lac,*,G,31.8,46,33,27.3,10.8,223,0.821,413,0.554,356,0.424,0.592,0.631,23.8,3.5,2.2,1.3,0.2,2,27.3,26,29.5,6.9,118,109.9
30,Joel Embiid,Phi,*,C-F,31,19,30.2,34.6,16.4,169,0.882,238,0.492,77,0.299,0.481,0.58,23.8,8.2,4.5,0.7,0.9,3.3,31.9,28.3,36.4,12.7,113.7,110.8
31,Trae Young,Atl,*,G,26.5,58,36.3,29.4,21,418,0.864,550,0.471,500,0.328,0.481,0.556,23.6,3.1,11.5,1.2,0.2,4.8,26.7,35.2,38.2,10.4,111,115.6
32,Jaylen Brown,Bos,*,G-F,28.4,51,35.1,29.3,12.8,273,0.758,639,0.531,303,0.327,0.518,0.556,23.2,6,4.7,1.2,0.3,2.7,29.2,27.9,33.9,9.9,112,106.7
33,Luka Doncic,Lal,*,F-G,26,9,32,34.8,17.7,71,0.718,79,0.506,83,0.301,0.478,0.533,22.9,8.2,7.7,1.7,0.6,3.9,31.1,30.6,38.8,14.1,106.9,103.9
34,Jaren Jackson Jr.,Mem,*,F-C,25.5,59,29.4,28.8,11.6,342,0.772,668,0.557,304,0.365,0.554,0.597,22.7,5.8,2.1,1.3,1.6,2.2,28.6,24.9,30.7,8.9,116.1,104.1
35,Zach LaVine,Sac,*,G,30,11,35.6,24.7,14.3,40,0.9,99,0.586,80,0.4,0.592,0.631,22.5,3.9,4,1,0.1,2.7,26.5,26.5,30.5,7.9,115.8,116.1
36,Brandon Ingram,Nor,*,F,27.5,18,33.1,30.1,17.1,55,0.855,218,0.514,115,0.374,0.53,0.56,22.2,5.6,5.2,0.9,0.6,3.8,27.8,27.4,32.9,10.4,103.5,115.4
37,DeMar DeRozan,Sac,*,G-F,35.6,55,35.8,24.1,7.5,304,0.875,742,0.519,163,0.35,0.52,0.581,21.9,3.9,3.9,1,0.4,1.3,25.8,25.8,29.7,7.7,120.8,114.3
38,Trey Murphy III,Nor,*,F,24.7,46,35.6,23.7,10.6,204,0.887,349,0.55,395,0.367,0.55,0.6,21.7,5.2,3.8,1.2,0.7,1.9,26.9,25.6,30.7,8.5,118.9,117.3
39,RJ Barrett,Tor,*,F-G,24.7,49,33.3,28.5,14.8,270,0.648,578,0.529,258,0.357,0.531,0.557,21.7,6.4,5.7,0.8,0.3,3,28.1,27.4,33.8,11.1,108.3,112.1
40,CJ McCollum,Nor,*,G,33.5,47,33.1,27.1,9.1,152,0.73,461,0.516,387,0.372,0.535,0.557,21.7,3.7,3.9,0.7,0.5,1.8,25.4,25.6,29.4,8.2,111.6,117.9
41,James Harden,Lac,*,G,35.5,58,34.7,29.6,21.8,404,0.879,448,0.444,494,0.336,0.476,0.559,21.6,5.8,8.6,1.5,0.6,4.5,27.4,30.2,36,11.8,109,107.6
42,Jalen Williams,Okc,*,G-F,23.9,58,32.8,27.2,11.4,236,0.784,696,0.527,294,0.364,0.533,0.567,21.4,5.5,5.2,1.7,0.7,2.2,26.8,26.6,32,10.4,114.6,103.8
43,Jalen Green,Hou,*,G,23.1,62,33.2,27.3,12.8,248,0.827,589,0.489,510,0.357,0.51,0.549,21.4,4.4,3.1,0.8,0.3,2.6,25.8,24.5,28.9,8,109.1,110.3
44,Jamal Murray,Den,*,G,28,54,36,24.1,11.7,186,0.871,587,0.516,321,0.402,0.547,0.583,21.4,3.8,6,1.4,0.5,2.2,25.2,27.4,31.2,8.7,117.8,114.1
45,Darius Garland,Cle,*,G,25.1,57,30.3,27.6,13.3,198,0.869,497,0.531,399,0.421,0.576,0.612,21.1,2.5,6.7,1.1,0.2,2.4,23.7,27.8,30.4,9.3,123,110.3
46,Kai Jones,Dal,*,C-F,24.1,1,33.7,16.2,8.8,4,0.75,10,0.9,0,0,0.9,0.893,21,8,0,0,1,1,29,21,29,0,160.6,112.5
47,Brandon Miller,Cha,*,F,22.3,27,34.2,27.5,13.4,79,0.861,198,0.475,293,0.355,0.509,0.54,21,4.9,3.6,1.1,0.7,2.8,25.9,24.7,29.5,8.4,104.3,110.9
48,Jordan Poole,Was,*,G,25.7,51,31.3,28.9,16.7,226,0.876,354,0.486,478,0.37,0.526,0.576,21,3.3,4.8,1.4,0.5,3.3,24.3,25.8,29.1,8.9,107,112.9
49,Ja Morant,Mem,*,G,25.6,37,29.4,31.3,19.1,230,0.835,419,0.499,188,0.287,0.478,0.545,20.9,4.1,7.4,1.2,0.3,3.9,24.9,28.3,32.4,11.7,109.2,110
50,Pascal Siakam,Ind,*,F,30.9,60,32.9,24.1,7.9,245,0.743,654,0.567,256,0.402,0.577,0.606,20.6,7.2,3.3,0.9,0.5,1.3,27.8,23.8,31,9.6,122,110.4
51,Miles Bridges,Cha,*,F,27,46,32.1,27.4,11.4,174,0.874,462,0.506,318,0.324,0.498,0.542,20.2,7.8,3.7,0.8,0.7,2.2,28,23.9,31.7,10.4,109.6,112.1
52,Scottie Barnes,Tor,*,F-G,23.6,48,34.5,26.4,14.9,217,0.779,570,0.523,228,0.268,0.488,0.531,19.8,7.8,6.1,1.5,1.1,2.9,27.5,25.9,33.7,11.4,107.6,112.3
53,Domantas Sabonis,Sac,*,F-C,28.8,56,35.2,21.4,18.8,237,0.747,589,0.633,132,0.432,0.636,0.663,19.5,14.1,6.2,0.6,0.4,3,33.7,25.7,39.8,13.6,128.2,104.5
54,Lauri Markkanen,Uta,*,F-C,27.8,43,32.1,23.8,8.4,179,0.872,281,0.527,363,0.347,0.523,0.574,19.3,6.1,1.6,0.8,0.4,1.4,25.4,20.9,27,7.1,116.7,117.3
55,De'Aaron Fox,San,*,G,27.2,13,34,26,13,57,0.807,141,0.525,72,0.264,0.481,0.527,19.3,4.2,6.6,1.8,0.4,2.5,23.5,25.9,30.1,9.6,108.5,110.9
56,Alperen Sengun,Hou,*,C,22.6,58,31.2,26.7,14.2,325,0.692,808,0.517,79,0.228,0.502,0.541,19.2,10.5,4.8,1.1,0.8,2.5,29.8,24.1,34.6,12.7,114.3,101.7
57,Austin Reaves,Lal,*,G,26.8,53,34.3,23.4,15.1,264,0.867,350,0.537,373,0.362,0.54,0.602,19.1,4.2,6,1.1,0.3,2.4,23.3,25,29.3,9.1,119.5,111.5
58,Nikola Vucevic,Chi,*,C,34.4,56,32.1,22.5,10.5,120,0.817,564,0.599,256,0.387,0.593,0.614,19.1,10.3,3.4,0.9,0.7,1.7,29.4,22.5,32.8,10.9,120.5,110.6
59,De'Andre Hunter,Atl,,F-G,27.3,37,28.7,24.1,10.7,176,0.858,245,0.531,247,0.393,0.56,0.616,19,3.9,1.5,0.8,0.1,1.6,22.9,20.5,24.4,6.7,116.7,112
60,Anfernee Simons,Por,*,G,25.7,58,32.5,24.6,12,163,0.902,433,0.485,479,0.372,0.523,0.56,19,2.8,4.9,0.8,0.1,2.1,21.7,23.9,26.7,7.9,114,116.6
61,Jalen Johnson,Atl,*,F,23.2,36,35.7,22.4,16.3,126,0.746,402,0.565,141,0.312,0.54,0.568,18.9,10,5,1.6,1,2.9,28.9,23.9,33.9,11,109,111.1
62,Kristaps Porzingis,Bos,*,F-C,29.6,32,28.9,25.3,8,144,0.813,244,0.529,191,0.403,0.562,0.608,18.9,6.8,1.9,0.8,1.6,1.2,25.7,20.9,27.7,8.7,122.9,102.5
63,Cameron Johnson,Bro,*,F,29,46,31.7,22.7,11.3,177,0.898,261,0.571,342,0.398,0.585,0.635,18.8,4.1,2.9,0.9,0.5,1.7,22.9,21.7,25.8,7.7,122.5,114.7
64,Julius Randle,Min,*,F-C,30.3,50,32.5,25.3,17,257,0.817,467,0.548,229,0.319,0.525,0.582,18.8,7.2,4.4,0.7,0.2,2.9,26,23.3,30.4,10.4,114.2,106.8
65,Evan Mobley,Cle,*,C,23.7,54,30,23.4,13.5,232,0.754,525,0.627,158,0.367,0.609,0.641,18.6,9.3,3.1,0.8,1.6,2,27.9,21.7,31,10.8,125.1,105.1
66,Desmond Bane,Mem,*,G,26.7,49,31.2,23,15.8,147,0.884,400,0.57,286,0.378,0.569,0.606,18.6,6,5.5,1.2,0.4,2.6,24.5,24.1,30.1,10.9,118.6,108.3
67,John Collins,Uta,*,F-C,27.4,38,30.5,23.8,17,155,0.852,355,0.575,134,0.418,0.589,0.635,18.6,8.2,2.1,1,1.1,2.6,26.8,20.7,28.8,9,115.8,110.6
68,Tyrese Haliburton,Ind,*,G,25,59,34,21.5,11.1,173,0.861,355,0.569,462,0.39,0.578,0.612,18.5,3.5,8.9,1.5,0.6,1.7,22,27.4,30.9,9.8,128.6,116.4
69,Michael Porter Jr.,Den,*,F,26.7,58,33.4,20.5,8.9,146,0.747,432,0.593,368,0.41,0.603,0.621,18.5,6.8,2.2,0.6,0.4,1.3,25.3,20.7,27.5,7.8,122.3,113.4
70,Coby White,Chi,*,G,25,55,32.8,23.3,13.9,181,0.901,347,0.516,451,0.364,0.533,0.577,18.4,3.4,4.6,1,0.2,2.3,21.8,23,26.4,8.1,110.4,115.8
71,Dennis Schroder,Bro,,G,31.5,23,33.6,23.7,15.3,81,0.889,175,0.509,150,0.387,0.542,0.588,18.4,3,6.6,1.1,0.2,2.6,21.4,25,28,8.5,116.2,113
72,Collin Sexton,Uta,*,G,26.2,48,28.1,26.3,15.4,187,0.898,429,0.51,218,0.408,0.545,0.599,18.2,2.8,4,0.7,0.1,2.5,21,22.2,25,8.4,116,117.1
73,Kawhi Leonard,Lac,*,F,33.7,20,28.5,28.2,12.3,50,0.78,209,0.507,98,0.378,0.526,0.55,18.1,5,2.7,1.2,0.5,2.2,23.1,20.8,25.8,8.8,105.1,109.2
74,Andrew Wiggins,Mia,*,F,30,6,35.3,25,15.6,39,0.821,48,0.438,38,0.289,0.436,0.519,17.8,4.8,3.3,1.2,1,2.7,22.7,21.2,26,7.4,103.3,112.8
75,Quentin Grimes,Phi,*,G,24.8,11,32.7,21.2,11.2,29,0.655,75,0.653,68,0.382,0.615,0.626,17.7,5.3,3.3,1.2,0.5,1.6,23,21,26.3,8.3,120.6,114.2
76,Jaden Ivey,Det,*,G,23.1,30,29.9,26,17.7,116,0.733,259,0.49,154,0.409,0.536,0.569,17.6,4.1,4,0.9,0.4,3,21.7,21.6,25.7,8.8,107.3,110.2
77,Malik Monk,Sac,*,G,27.1,52,32.5,24,13.6,142,0.88,416,0.541,352,0.324,0.516,0.552,17.6,3.8,5.9,1,0.6,2.3,21.5,23.5,27.4,9,111.7,110.9
78,Andrew Wiggins,Gol,,F,30,43,30.1,23.3,8.7,179,0.777,340,0.491,248,0.379,0.524,0.566,17.6,4.6,2.3,0.9,0.8,1.3,22.1,19.9,24.5,7.6,115.5,111.8
79,Bradley Beal,Pho,*,G,31.7,43,32.6,22.6,13.2,114,0.816,368,0.557,210,0.405,0.575,0.603,17.6,3.6,3.6,1.1,0.6,2,21.2,21.2,24.8,7.5,113.4,114.5
80,Shaedon Sharpe,Por,*,G,21.8,54,30.1,24.8,11.4,167,0.796,454,0.542,334,0.32,0.516,0.549,17.5,3.9,2.6,0.8,0.3,1.9,21.5,20.1,24.1,7.5,109.1,115.3
81,Dejounte Murray,Nor,*,G,28.5,31,32.7,27.2,17.5,124,0.823,320,0.444,174,0.299,0.445,0.494,17.5,6.5,7.4,2,0.4,3.4,23.9,24.8,31.3,11.5,101.1,113.9
82,Mikal Bridges,Nyk,*,G-F,28.5,61,37.7,19.2,9,66,0.727,517,0.59,382,0.351,0.563,0.571,17.4,3.1,3.4,0.9,0.6,1.5,20.5,20.8,23.9,6,114.7,117.2
83,Bam Adebayo,Mia,*,C-F,27.6,58,34.2,23,13.5,236,0.737,651,0.528,149,0.302,0.514,0.552,17.2,9.9,4.3,1.2,0.7,2.2,27.1,21.5,31.5,10.5,113.3,106.8
84,Jimmy Butler,Mia,,F,35.5,25,30.6,21.1,10.2,161,0.801,227,0.568,36,0.361,0.565,0.638,17,5.2,4.8,1.1,0.4,1.2,22.3,21.8,27.1,9.8,135.7,114.3
