RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
255,GG Jackson,Mem,*,F,20.2,18,16.5,22.8,15.6,36,0.722,65,0.477,65,0.338,0.492,0.528,8.6,3.3,1.1,0.3,0.2,1.3,11.8,9.7,12.9,7.6,103,111.1
256,Terance Mann,Atl,*,G-F,28.4,10,22.3,13.6,16.1,14,0.429,30,0.533,27,0.593,0.702,0.681,8.6,2.9,2.5,0.6,0.2,1.1,11.5,11.1,14,7.1,127.3,112.2
257,Jusuf Nurkic,Pho,,C,30.5,25,23.7,18.7,25.9,69,0.696,104,0.529,59,0.322,0.512,0.556,8.6,9.2,1.9,0.9,0.6,2.3,17.8,10.5,19.6,9,101.1,100.8
258,Kentavious Caldwell-Pope,Orl,*,G,32,60,30.2,12.5,10.1,78,0.872,174,0.58,263,0.308,0.509,0.544,8.6,2.1,1.8,1.4,0.5,0.8,10.6,10.3,12.4,4.2,110,108.8
259,Max Christie,Lal,,G,22.1,46,25.1,13.9,11.9,87,0.851,125,0.544,163,0.368,0.549,0.598,8.5,2.7,1.4,0.8,0.5,0.8,11.2,9.9,12.6,5.1,116.9,111.6
260,Larry Nance Jr.,Atl,*,F-C,32.2,24,19.3,15.6,9.3,13,0.692,79,0.582,76,0.447,0.626,0.632,8.5,4.3,1.6,0.8,0.5,0.7,12.8,10,14.3,8,123.3,109.8
261,Dalano Banton,Por,*,F,25.3,49,15.4,24.8,15.5,93,0.71,192,0.469,152,0.368,0.506,0.538,8.4,1.9,2.1,0.7,0.5,1.3,10.4,10.6,12.5,8.4,106.4,114.7
262,KJ Martin,Uta,*,F,24.2,7,24.6,12.7,14.5,10,0.5,26,0.808,15,0.267,0.659,0.65,8.4,3.1,1.1,0.6,0.4,1,11.6,9.6,12.7,5,116.9,115.6
263,Jalen Smith,Chi,*,F-C,25,54,15.1,20.9,8.8,77,0.831,151,0.629,190,0.353,0.573,0.607,8.4,5.5,0.9,0.3,0.7,0.6,14,9.4,14.9,9.2,121.7,107.5
264,Jaylen Nowell,Nor,*,G,25.7,8,21,21.5,9.8,11,0.636,46,0.391,27,0.296,0.411,0.43,8.4,2.5,2.3,0.1,0.5,1,10.9,10.6,13.1,6.9,94.1,120.8
265,Bruce Brown,Tor,,G-F,28.6,18,19.6,19.5,12.6,29,0.897,95,0.484,36,0.306,0.477,0.525,8.4,3.8,1.6,0.9,0.2,1.1,12.2,9.9,13.7,7.6,105.7,111.5
266,Quinten Post,Gol,*,C,25,24,15.4,20.5,11.5,15,0.933,60,0.533,94,0.426,0.597,0.616,8.3,3.8,1.5,0.4,0.3,0.8,12,9.8,13.5,9.4,119.2,101.9
267,Day'Ron Sharpe,Bro,*,C,23.3,39,17.7,21,17.5,66,0.773,214,0.575,36,0.25,0.546,0.581,8.3,6.5,1.7,0.8,0.8,1.4,14.8,10.1,16.5,10.2,117,100.8
268,Justin Edwards,Phi,*,F,21.2,28,24.1,14.7,11.5,19,0.632,83,0.59,109,0.367,0.568,0.574,8.2,3.1,1.4,0.8,0.3,0.9,11.3,9.6,12.7,5.5,112.2,111.6
269,Tre Jones,Chi,*,G,25.2,10,18.9,15.5,7.9,16,0.875,48,0.583,10,0.4,0.586,0.63,8.2,2.3,3.1,0.8,0.2,0.5,10.5,11.3,13.6,8.2,135.4,117.7
270,Kyshawn George,Was,*,F,21.2,54,26.7,15.4,16,69,0.754,138,0.442,283,0.311,0.458,0.485,8.1,4.1,2.4,0.9,0.7,1.5,12.2,10.6,14.6,6.4,96.6,111.2
271,Peyton Watson,Den,*,G,22.5,48,24.2,14,12.6,101,0.752,203,0.532,94,0.34,0.525,0.568,8.1,3.4,1.5,0.9,1.2,0.9,11.5,9.6,13,5.7,114.1,112
272,Brandon Clarke,Mem,*,F,28.5,56,18.8,14.9,9.6,70,0.671,312,0.647,17,0.059,0.619,0.631,8.1,5,1,0.8,0.5,0.6,13.1,9.1,14.2,7.3,128.9,103.1
273,Goga Bitadze,Orl,*,C-F,25.6,52,22.7,14.5,18.1,103,0.631,262,0.664,22,0.091,0.623,0.636,8.1,7.5,2.1,0.8,1.6,1.2,15.6,10.1,17.7,8.9,124.2,101.3
274,Mike Conley,Min,*,G,37.4,54,24.9,14.5,13.6,72,0.917,116,0.345,245,0.396,0.514,0.556,8.1,2.6,4.5,1.2,0.2,1.1,10.7,12.6,15.2,7.3,122.4,109.1
275,Al Horford,Bos,*,C-F,38.8,48,26.9,13.1,9,22,0.909,107,0.533,236,0.36,0.538,0.551,8.1,5.6,1.8,0.6,0.8,0.7,13.7,9.9,15.5,6.5,117.2,108.5
276,Damion Baugh,Cha,*,G,24.6,7,26.2,18.1,18.8,10,0.9,29,0.448,31,0.226,0.392,0.435,8,3,4,1.7,0.1,2,11,12,15,7,93.3,112.1
277,Tyrese Martin,Bro,*,F,26,43,20.9,18.7,14.5,44,0.773,121,0.496,191,0.335,0.5,0.522,8,3.7,1.6,0.5,0.1,1.2,11.7,9.7,13.3,6.9,102.7,114.8
278,Keon Ellis,Sac,*,G,25.2,58,22.6,13,12.9,62,0.855,98,0.582,226,0.438,0.634,0.66,8,2.5,1.2,1.4,0.8,0.8,10.5,9.2,11.8,5.1,124.4,109
279,Jaden Hardy,Dal,*,G,22.7,46,15.2,24.8,17,61,0.672,162,0.469,151,0.384,0.521,0.54,8,1.5,1.4,0.5,0.1,1.4,9.5,9.4,10.9,6.7,97.7,109.2
280,Taurean Prince,Mil,*,F,31,59,26.2,12.4,13.8,31,0.839,125,0.456,243,0.453,0.603,0.616,8,3.7,2,0.8,0.1,1,11.7,10,13.7,6,115.5,107.9
281,Cason Wallace,Okc,*,G,21.3,53,27.6,12.4,9.8,24,0.833,207,0.546,169,0.337,0.528,0.539,7.9,3.5,2.5,1.8,0.5,0.8,11.3,10.4,13.8,5.9,115.9,104
282,Kevin Huerter,Sac,,G-F,26.5,43,20.9,17,10.7,28,0.714,105,0.629,205,0.302,0.513,0.524,7.9,2.8,1.7,0.8,0.4,0.9,10.7,9.6,12.4,6.4,105.6,110.3
283,Dennis Schroder,Det,*,G,31.5,9,18.6,21.9,16.6,20,0.8,34,0.412,31,0.29,0.423,0.481,7.9,2.4,4.6,0.3,0.3,1.4,10.3,12.4,14.9,9.5,107.7,108.9
284,Tristan da Silva,Orl,*,F,23.8,59,23.6,14.8,10.9,54,0.852,198,0.515,204,0.343,0.515,0.54,7.8,3.5,1.6,0.5,0.3,0.8,11.3,9.4,12.9,6,111,109.7
285,Cody Martin,Cha,*,F,29.4,39,24.8,14.5,13.5,49,0.694,144,0.528,124,0.323,0.507,0.528,7.8,4.5,2.3,1.1,0.7,1.1,12.4,10.1,14.6,7,108.9,109.9
286,Thomas Bryant,Ind,*,C-F,27.6,34,16.2,17.8,8.9,29,0.759,116,0.672,78,0.372,0.626,0.641,7.8,4.4,1.3,0.5,0.5,0.6,12.2,9.1,13.5,8.8,130.7,110.5
287,Ja'Kobe Walter,Tor,*,G,20.5,43,20,18,11.9,65,0.738,162,0.481,135,0.311,0.475,0.507,7.7,2.8,1.3,0.7,0.2,0.9,10.5,8.9,11.7,6.1,102.5,111.9
288,A.J. Green,Mil,*,G,25.4,53,22.6,13,8,21,0.905,48,0.458,274,0.42,0.604,0.616,7.7,2.3,1.3,0.5,0.1,0.5,10,9,11.3,5,118.4,107.4
289,Bol Bol,Pho,*,C-F,25.3,26,13.7,21.7,9.7,24,0.75,72,0.722,76,0.342,0.615,0.631,7.7,3.3,0.6,0.2,0.9,0.6,11,8.3,11.7,7.2,116,115.9
290,Jusuf Nurkic,Cha,*,C,30.5,6,18.4,21.1,22.8,16,0.625,21,0.714,16,0.125,0.486,0.522,7.7,8,4.2,1.2,1.2,1.8,15.7,11.8,19.8,13.9,109.5,98.5
291,Kyle Filipowski,Uta,*,C,21.3,51,18.9,16.7,18.9,89,0.618,164,0.598,115,0.391,0.593,0.607,7.6,5.2,2,0.5,0.1,1.3,12.7,9.5,14.7,9.1,115.3,108.6
292,Josh Green,Cha,*,G,24.3,55,28.6,11.3,13.2,60,0.667,142,0.479,200,0.4,0.55,0.565,7.6,2.7,1.5,1.1,0.2,0.9,10.2,9.1,11.7,4.4,111.2,111.1
293,Garrison Mathews,Atl,*,G,28.4,44,17.6,16,10.7,77,0.818,36,0.444,206,0.388,0.562,0.607,7.6,1.8,1.3,0.6,0.3,0.7,9.5,8.9,10.8,5.9,118.9,110.6
294,Lonzo Ball,Chi,*,G,27.4,35,22.2,15.9,14.4,27,0.815,48,0.458,195,0.344,0.504,0.524,7.6,3.4,3.3,1.3,0.5,1.2,11,10.9,14.3,7.9,108.9,112.7
295,Javonte Green,Cle,*,G,31.6,2,12.2,16.2,12.3,3,0.333,4,1,3,0.667,1,0.901,7.5,4.5,1,0,0,0.5,12,8.5,13,10.6,153.2,102.6
296,Sam Hauser,Bos,*,F,27.2,52,20.4,13.7,5.7,4,1,46,0.674,266,0.406,0.619,0.621,7.5,3,1,0.6,0.2,0.4,10.5,8.5,11.5,5.5,125.4,109.1
297,Justin Champagnie,Was,*,G-F,23.7,41,18.4,16,13,46,0.696,121,0.628,112,0.366,0.59,0.606,7.5,4.7,0.9,0.9,0.6,0.9,12.2,8.4,13,6.9,116.2,111.1
298,Vasilije Micic,Cha,,G,31.1,36,21.2,20.2,21.3,41,0.829,148,0.338,125,0.36,0.43,0.462,7.5,2.4,3.5,0.4,0,2.1,9.9,11,13.4,7.5,93.2,115.1
299,Johnny Juzang,Uta,*,G,24,44,17.7,16.6,6.8,36,0.833,78,0.513,195,0.369,0.542,0.564,7.4,2.6,0.9,0.5,0.1,0.5,10,8.3,11,5.8,117,112.2
300,Shake Milton,Bro,,G,28.4,27,18.2,17,11.3,33,0.758,85,0.529,72,0.389,0.554,0.58,7.4,1.9,2.4,0.6,0,0.7,9.3,9.7,11.6,7.1,119.9,111.8
301,Richaun Holmes,Was,*,F,31.4,23,17.8,13.7,15.9,47,0.83,92,0.717,3,0,0.695,0.739,7.4,5.6,1.4,0.2,0.8,0.8,13,8.8,14.4,8.7,140.7,112.1
302,Andre Drummond,Phi,*,C,31.6,37,18.7,19.3,20,88,0.614,196,0.546,16,0.125,0.519,0.546,7.4,7.9,0.8,1,0.4,1.4,15.3,8.2,16.1,7.7,108.1,100.3
303,Jake LaRavia,Mem,,F,23.3,47,20.9,14.3,22.2,96,0.698,151,0.517,90,0.444,0.573,0.605,7.3,4.4,2.8,0.9,0.4,1.5,11.7,10.1,14.5,8.6,118.2,106.7
304,Trayce Jackson-Davis,Gol,*,F,25,51,17.9,16.5,12.7,86,0.605,280,0.575,1,0,0.573,0.587,7.3,5.7,1.9,0.4,0.7,0.8,13,9.2,14.9,9.6,123.4,107
305,Isaiah Collier,Uta,*,G,20.4,53,24.4,18.2,28.6,79,0.646,253,0.486,123,0.236,0.443,0.467,7.2,3.1,6.1,0.8,0.2,2.8,10.3,13.4,16.5,8.4,96.1,114.1
306,Bones Hyland,Lac,*,G,24.5,20,11.1,29.1,17.3,26,0.885,34,0.412,80,0.388,0.531,0.574,7.2,1.2,1.4,0.9,0.2,1.2,8.4,8.6,9.8,8.3,105.7,100.7
307,KJ Simpson,Cha,*,G,22.6,23,20.4,20.2,15.4,37,0.811,102,0.422,74,0.216,0.381,0.426,7.1,2.9,2.6,0.8,0.2,1.4,10,9.7,12.6,7.4,94.5,112.1
308,Matas Buzelis,Chi,*,F,20.4,60,16.4,18.4,10.4,64,0.828,190,0.526,172,0.331,0.512,0.543,7.1,3,0.8,0.3,0.8,0.7,10.1,7.9,10.9,6.3,105.7,112
309,Vince Williams Jr.,Mem,*,G,24.5,11,17.1,19.9,20.6,15,0.667,36,0.528,33,0.303,0.493,0.516,7.1,3.7,2.1,0.5,0.2,1.6,10.8,9.2,12.9,8.9,100.7,105.1
310,Jay Huff,Mem,*,C,27.5,48,12.1,19.2,10.8,48,0.771,77,0.727,153,0.418,0.661,0.679,7.1,2,0.6,0.2,0.9,0.6,9.1,7.7,9.8,6.8,126.7,106.9
311,Sam Merrill,Cle,*,G,28.8,52,19.2,14.7,6.9,28,0.964,40,0.65,270,0.359,0.553,0.574,7.1,2,1.4,0.7,0.2,0.4,9.1,8.6,10.6,5.6,120.9,107
312,Kelly Olynyk,Tor,,F-C,33.9,24,16,19,22.8,43,0.791,75,0.533,43,0.442,0.581,0.624,7.1,3.7,2.3,0.7,0.3,1.5,10.8,9.5,13.2,9.8,114.4,101.9
313,Isaiah Jackson,Ind,*,F,23.1,5,16.8,17.7,17.7,14,0.5,23,0.609,0,0,0.609,0.6,7,5.6,1,0.6,1.6,1,12.6,8,13.6,8.1,119.3,98.7
314,Cameron Payne,Nyk,*,G,30.6,55,14.3,21.1,9.4,46,0.891,135,0.481,194,0.371,0.526,0.554,7,1.4,2.7,0.6,0.2,0.6,8.4,9.7,11.1,8.3,119.7,107.4
315,Vit Krejci,Atl,*,G,24.7,39,20.8,13.3,14,30,0.667,69,0.58,146,0.384,0.577,0.587,6.9,2.7,2.7,0.7,0.5,0.9,9.6,9.6,12.3,7.1,116.7,110.7
316,Jared Butler,Phi,*,G,24.5,7,14.1,26.1,18.4,11,0.818,28,0.536,16,0.188,0.443,0.491,6.9,2.3,3.4,0.4,0.3,1.4,9.1,10.3,12.6,10.7,103.7,114.6
317,Jared Butler,Was,,G,24.5,32,11.3,26,14.1,45,0.778,135,0.519,41,0.366,0.526,0.562,6.9,1.3,2.6,0.4,0.2,0.9,8.2,9.4,10.7,10.1,114.5,113.2
318,Precious Achiuwa,Nyk,*,F,25.5,39,22.5,13.5,12.3,50,0.62,192,0.552,29,0.31,0.541,0.556,6.9,6.2,1.1,0.9,0.8,0.8,13.1,8,14.2,6.4,117.9,109
319,Torrey Craig,Chi,,F,34.2,9,12.5,17.3,0,4,0.75,10,0.7,35,0.429,0.656,0.663,6.9,2.8,0.6,0.2,0.1,0,9.7,7.4,10.2,7.2,137.4,107.6
320,Dorian Finney-Smith,Lal,*,F,31.8,25,26.9,11.2,13.7,9,0.778,43,0.605,101,0.366,0.566,0.574,6.8,3.6,1.2,1,0.1,0.9,10.4,8,11.6,4.6,112.2,111
321,Ben Simmons,Lac,*,G-F,28.6,5,21.1,11.9,7.6,7,0.857,24,0.583,0,0,0.583,0.628,6.8,5.2,5,1.4,0.6,0.4,12,11.8,17,10.6,149.2,100
322,Eric Gordon,Phi,*,G,36.2,39,19.7,14.5,12.1,48,0.75,67,0.463,137,0.409,0.564,0.591,6.8,1.2,1.7,0.7,0.3,0.7,8,8.5,9.7,4.9,115.9,118.9
323,Elfrid Payton,Nor,,G,31,7,20.5,19.6,30.2,2,0.5,45,0.511,1,0,0.5,0.501,6.7,3.4,6.9,1.4,0.4,2.9,10.1,13.6,17,10.5,100,114
324,Ajay Mitchell,Okc,*,G,22.7,34,16.5,15.8,14.3,33,0.848,116,0.543,51,0.431,0.575,0.606,6.5,2,1.7,0.7,0.1,0.8,8.4,8.1,10.1,6.8,118,102.6
325,Haywood Highsmith,Mia,*,F,28.2,53,24.2,11.1,12,32,0.719,109,0.578,161,0.41,0.6,0.611,6.5,3.1,1.3,0.9,0.6,0.7,9.7,7.9,11,4.9,118.1,107.9
326,KJ Martin,Phi,,F,24.2,24,20,11.3,10.8,29,0.828,78,0.679,21,0.381,0.657,0.689,6.4,3,0.8,0.5,0.7,0.5,9.4,7.2,10.2,5,133.7,107.7
327,Jaxson Hayes,Lal,*,C-F,24.8,39,18.8,11.9,16.9,62,0.726,140,0.729,2,0,0.718,0.735,6.4,4.5,1,0.6,1,0.7,10.9,7.4,11.9,6.5,137.3,102.9
328,Alec Burks,Mia,*,G,33.6,35,17.5,14.7,8.6,40,0.775,45,0.378,124,0.427,0.571,0.6,6.4,2.6,1.1,0.6,0.2,0.5,9,7.5,10.1,6,119.2,112
329,Ronald Holland II,Det,*,F,19.7,62,15.7,17.8,14,86,0.791,196,0.597,124,0.234,0.502,0.544,6.3,2.7,0.9,0.6,0.1,0.8,8.9,7.2,9.8,6.3,105.4,103.9
330,Dru Smith,Mia,*,G,27.2,14,19.2,13.9,21.7,13,0.769,31,0.484,30,0.533,0.639,0.659,6.3,2.6,1.6,1.5,0.4,1.2,8.9,7.9,10.5,6.2,115.7,102.8
331,Davion Mitchell,Tor,,G,26.5,44,24.6,13.3,24.2,37,0.676,127,0.504,117,0.359,0.52,0.536,6.3,2,4.6,0.7,0.2,1.8,8.3,11,12.9,6.3,105.3,111.4
332,Simone Fontecchio,Det,*,F,29.2,55,17.4,16.3,13.4,74,0.811,116,0.483,175,0.32,0.481,0.525,6.2,3,0.9,0.4,0.2,0.8,9.2,7.1,10.1,5.9,105.3,109.6
333,Kris Dunn,Lac,*,G,31,54,23.7,13.1,15.3,16,0.563,159,0.553,163,0.307,0.506,0.509,6.2,3.6,3,1.8,0.3,1.1,9.8,9.2,12.8,6.9,108.1,100.8
334,Ben Simmons,Bro,,G-F,28.6,33,25,14.3,34.1,26,0.692,170,0.547,0,0,0.547,0.562,6.2,5.2,6.9,0.8,0.5,2.7,11.4,13.1,18.3,9.7,108.5,107.4
335,Trey Lyles,Sac,*,F,29.3,49,18.4,14.4,9.2,49,0.714,87,0.529,170,0.347,0.523,0.546,6.2,4.5,1.1,0.6,0.4,0.5,10.7,7.3,11.7,6.8,115.4,110.3
336,Mouhamed Gueye,Atl,*,F,22.3,14,15.1,17.2,7.1,11,0.727,38,0.632,40,0.25,0.5,0.519,6.1,3.2,0.6,0.9,0.9,0.4,9.4,6.8,10,6,107,107.6
337,Jordan Goodwin,Lal,*,G,26.4,8,16.9,15.4,13,3,0.667,24,0.667,16,0.313,0.588,0.593,6.1,3.8,1,1.3,0.3,0.8,9.9,7.1,10.9,6.7,117.7,104.8
338,Alex Caruso,Okc,*,G,31,39,19,14.2,10,17,0.824,89,0.528,127,0.339,0.516,0.53,6.1,2.8,2.6,1.7,0.5,0.6,8.9,8.7,11.5,7.5,118.2,99.9
339,Bismack Biyombo,San,*,C,32.5,9,17.6,14.2,18.3,9,0.333,40,0.65,0,0,0.65,0.626,6.1,5.7,1.2,0.6,1,1,11.8,7.3,13,7.9,115.1,104.1
340,Jamal Shead,Tor,*,G,22.6,56,17.5,18,22,39,0.744,174,0.483,137,0.343,0.497,0.515,6,1.2,3.6,0.6,0.1,1.6,7.3,9.6,10.9,6.8,101.1,110.7
341,Ryan Dunn,Pho,*,F,22.2,55,17.5,15.9,7.4,25,0.44,145,0.579,166,0.301,0.511,0.511,6,3.1,0.8,0.4,0.5,0.5,9.1,6.8,9.9,5.6,105.9,108.9
342,Ricky Council IV,Phi,*,G,23.6,52,14.1,19.5,9.6,82,0.817,145,0.49,117,0.299,0.471,0.527,6,2.2,1.1,0.5,0.1,0.5,8.2,7.2,9.3,6.9,111.2,115.7
343,David Roddy,Phi,*,F,23.9,3,9.5,30.8,5,0,0,8,0.75,11,0.182,0.474,0.474,6,3,1,0.7,0,0.3,9,7,10,11,101.7,111.3
344,Isaiah Wong,Cha,*,G,24.1,20,13.3,22,14.6,34,0.735,72,0.389,33,0.394,0.452,0.5,6,1.6,1.4,0.6,0,0.9,7.6,7.4,9,7.2,102.9,112
345,Wendell Moore Jr.,Cha,*,G,23.5,4,18.6,16.7,14.1,3,0.667,18,0.444,6,0.333,0.458,0.474,6,3.5,0.3,0.3,0,1,9.5,6.3,9.8,4,95.5,113.1
346,James Wiseman,Ind,*,C,23.9,1,4.6,46,0,2,1,3,0.667,1,0,0.5,0.615,6,1,0,0,0,0,7,6,7,0,123.5,119.1
347,Talen Horton-Tucker,Chi,*,G,24.3,44,11.9,21.6,12.2,53,0.717,124,0.508,92,0.37,0.528,0.556,6,1.8,1.4,0.4,0.3,0.7,7.8,7.4,9.2,8.3,109.2,112.3
348,Terance Mann,Lac,,G-F,28.4,37,19.8,13.8,11.3,32,0.719,120,0.508,75,0.347,0.513,0.533,6,2.9,1.6,0.8,0.3,0.7,8.9,7.6,10.5,6.1,112.1,105.7
349,Josh Okogie,Pho,,G,26.5,25,14,18.1,12.3,32,0.688,72,0.556,42,0.381,0.561,0.586,6,2.9,0.6,0.8,0.4,0.6,8.9,6.6,9.4,6.2,115.7,112
350,Seth Curry,Cha,*,G,34.5,50,14.4,16,8.4,25,0.8,111,0.486,128,0.453,0.59,0.604,6,1.6,0.6,0.5,0.1,0.4,7.6,6.7,8.2,5,117.8,114
351,Donovan Clingan,Por,*,C,21,48,17,15.2,20.9,64,0.625,188,0.59,24,0.292,0.573,0.589,5.9,6.9,0.9,0.5,1.6,1.2,12.8,6.8,13.7,7.8,114.8,98.6
352,Ben Sheppard,Ind,*,G,23.6,46,20.3,11.6,6.2,20,0.9,70,0.6,155,0.368,0.567,0.584,5.9,2.7,1.3,0.6,0.3,0.3,8.7,7.2,9.9,5.4,121.6,109.9
353,Marcus Sasser,Det,*,G,24.5,47,13.5,18.3,15.6,31,0.839,105,0.571,117,0.368,0.561,0.584,5.9,1.1,2.2,0.6,0.1,0.9,7,8.1,9.2,7.2,116,107.9
354,Bruce Brown,Nor,*,G-F,28.6,8,23.1,14.5,8.6,13,0.692,40,0.4,13,0.154,0.358,0.4,5.9,4.3,1.9,1.1,0,0.6,10.1,7.8,12,6.3,95.7,111.9
355,Isaiah Stewart,Det,*,F-C,23.8,56,19.8,12.3,18.3,66,0.758,201,0.587,40,0.3,0.564,0.596,5.8,5.6,1.6,0.3,1.4,1,11.4,7.4,13,7.5,121.2,102.4
356,Javonte Green,Nor,,G,31.6,50,21.8,10.9,11.1,66,0.758,117,0.53,108,0.352,0.529,0.567,5.8,3.6,0.9,1.1,0.6,0.6,9.3,6.7,10.2,4.9,116.3,115.3
357,Drew Eubanks,Uta,,F-C,28.1,37,15.4,14.8,17.6,57,0.632,140,0.607,5,0.6,0.617,0.632,5.8,4.5,1.2,0.3,0.9,0.8,10.4,7,11.6,8.2,120.1,112.2
358,Robert Williams III,Por,*,C-F,27.4,20,17.6,12.2,17.8,17,0.882,75,0.653,3,0.333,0.647,0.679,5.8,5.9,1.1,0.7,1.7,0.9,11.7,6.9,12.8,7.6,127.7,106.4
359,Jeff Green,Hou,*,F,38.5,20,12.8,15.2,5.7,18,0.833,33,0.788,49,0.327,0.61,0.639,5.8,1.7,0.5,0.2,0.1,0.3,7.5,6.2,7.9,5.3,132.1,108.7
360,Quenton Jackson,Ind,*,G,26.5,18,14.1,16.5,12.6,21,0.714,52,0.577,24,0.375,0.572,0.598,5.7,1.5,1.7,0.5,0.3,0.6,7.2,7.4,8.9,6.9,120.6,107.7
361,Jeremiah Robinson-Earl,Nor,*,F,24.3,48,17.3,13.9,12,38,0.842,120,0.558,107,0.336,0.533,0.562,5.7,4.4,1.1,0.6,0.1,0.6,10.1,6.8,11.3,7,117.8,115.1
362,Isaac Okoro,Cle,*,F-G,24.1,35,19.4,11.7,7.5,29,0.724,66,0.5,95,0.389,0.55,0.57,5.7,2.3,1.5,0.6,0.4,0.4,7.9,7.1,9.4,5.6,125.2,106.7
363,Dean Wade,Cle,*,F-C,28.3,41,22.2,10.7,7.3,25,0.52,36,0.694,166,0.343,0.547,0.549,5.7,4.9,1.5,0.8,0.4,0.4,10.6,7.2,12.1,6.3,122.3,104.7
364,Kenrich Williams,Okc,*,G-F,30.3,49,14.5,15.4,11.2,18,0.889,109,0.606,113,0.389,0.595,0.609,5.7,3.3,1.2,0.6,0.1,0.6,9,6.9,10.2,7.8,123.2,100.4
365,Jonathan Isaac,Orl,*,F,27.4,55,16.3,16.1,7.8,81,0.679,139,0.547,134,0.261,0.471,0.505,5.7,4.8,0.5,0.8,1.1,0.4,10.5,6.2,11,5.9,112.2,102.5
366,Gary Payton II,Gol,*,G,32.3,49,13.6,16,12.1,33,0.697,145,0.703,66,0.258,0.604,0.616,5.7,2.8,1.3,0.7,0.3,0.6,8.5,7,9.8,8.1,121.8,101.8
367,Gabe Vincent,Lal,*,G,28.7,52,20.6,13.1,9.5,14,0.643,83,0.53,201,0.318,0.493,0.498,5.6,1.2,1.5,0.8,0.2,0.6,6.8,7,8.3,4.2,102.4,108.5
368,Jamison Battle,Tor,*,F,23.8,39,12.6,15.6,6.8,14,0.857,40,0.575,123,0.423,0.62,0.633,5.5,1.8,0.8,0.1,0.1,0.3,7.3,6.3,8.2,6.3,126.1,113.3
369,Rob Dillingham,Min,*,G,20.2,38,12.4,23,19.2,15,0.533,128,0.5,69,0.348,0.508,0.511,5.5,1.2,2.4,0.5,0,1.2,6.7,7.9,9.1,8.1,100.6,109
370,Tristan Vukcevic,Was,*,F,22,19,8.8,24.1,16.2,24,0.75,39,0.692,33,0.333,0.604,0.636,5.5,2.4,0.8,0.2,0.3,0.7,7.9,6.3,8.7,10,114.5,106.6
371,Jarace Walker,Ind,*,F,21.5,56,15.4,16.6,19.1,59,0.644,120,0.55,125,0.368,0.551,0.568,5.5,2.9,1.4,0.8,0.4,1,8.4,6.9,9.8,7.3,102.5,106.3
372,Oscar Tshiebwe,Uta,*,F-C,25.3,6,13.4,12.6,10.3,12,0.75,17,0.706,0,0,0.706,0.741,5.5,6.5,0.5,1,0,0.3,12,6,12.5,7.8,151.2,95.4
373,Keaton Wallace,Atl,*,G,26,26,16.2,15.5,18,11,1,59,0.492,68,0.368,0.524,0.546,5.5,1.4,2.2,0.8,0.3,1.1,6.9,7.7,9.1,6.3,104.4,112.4
374,Lindy Waters III,Gol,,F,27.6,38,17.2,14.5,7.6,11,0.727,57,0.474,148,0.331,0.49,0.498,5.5,2.6,1.1,0.6,0.3,0.4,8.1,6.6,9.2,5.8,104.9,107.6
375,Terrence Shannon Jr.,Min,*,G-F,24.6,23,11.7,19.8,11.3,19,0.842,76,0.553,26,0.308,0.529,0.562,5.4,1.7,1.2,0.3,0.2,0.6,7.1,6.6,8.3,7.6,113.6,109
376,Jonathan Mogbo,Tor,*,F,23.3,49,17.9,14.3,16.4,64,0.703,177,0.492,47,0.298,0.482,0.518,5.3,4.1,1.6,0.8,0.5,0.9,9.4,6.9,11,7.3,109.3,106.9
377,Kobe Bufkin,Atl,*,G,21.5,10,12.4,20.8,14.5,18,0.722,28,0.5,19,0.211,0.426,0.483,5.3,2.1,1.7,0.3,0.2,0.8,7.4,7,9.1,8.6,102.2,112.8
378,Moussa Diabate,Cha,*,F,23.1,51,18.6,12,19,85,0.565,185,0.595,2,0,0.588,0.597,5.3,6.7,0.8,0.7,0.6,0.9,12,6.1,12.8,6.6,120.4,107
379,Orlando Robinson,Tor,*,C,24.7,18,16.2,16.4,19.5,25,0.84,67,0.493,15,0.2,0.457,0.516,5.3,4.3,1.3,0.4,0.3,1.1,9.7,6.7,11,7.6,106.1,106.4
380,Kyle Anderson,Gol,,F-G,31.5,36,15,15.5,10.6,27,0.667,117,0.487,52,0.365,0.506,0.522,5.3,3.1,2.3,0.7,0.6,0.6,8.3,7.5,10.6,8.9,116.7,106.9
381,Kevin Love,Mia,*,F-C,36.5,20,11,25.2,11.2,19,0.684,43,0.349,60,0.35,0.451,0.476,5.3,4.3,1,0.7,0.1,0.7,9.6,6.3,10.6,10.3,100.2,100.8
382,Karlo Matkovic,Nor,*,F-C,23.9,24,16.4,13.5,19.6,20,0.85,64,0.609,30,0.333,0.574,0.608,5.2,4.1,0.9,0.4,1,1,9.3,6.1,10.2,6.5,113.4,108.3
383,Luke Kornet,Bos,*,C-F,29.6,53,17.5,10.4,11.4,67,0.746,169,0.663,1,0,0.659,0.687,5.2,4.9,1.6,0.5,1,0.4,10.1,6.8,11.7,7.9,152.8,104.5
