RANK,PLAYER,COLLEGE,POS,GP,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
36,Marques Warrick,MIZ,G,33,36.2,19.9,6.6,15.5,42.5,2,6.8,29.8,4.7,5.5,86.7,2.5,2.4,1.2,0.1,2.3
37,Issac McBride,ORU,G,31,38.6,19.8,6.6,14.8,44.8,2.1,5.3,39.4,4.5,5,89,3.5,3.1,0.9,0.1,1.7
38,Trazarien White,TCU,F,30,30.4,19.8,6.7,13.7,49.3,0.8,2,39,5.5,7.7,71.6,6.8,1.6,0.8,0.4,2.5
39,Saint Thomas,USC,F,32,34.8,19.7,7,14.8,47.2,2,6.2,33,3.7,4.3,86.8,9.8,4.2,1.7,0.9,3
40,Devin Carter,PROV,G,33,35.3,19.7,6.6,14,47.3,2.5,6.8,37.7,3.9,5.2,74.9,8.7,3.6,1.8,1,2.7
41,KJ Simpson,COLO,G,37,35.1,19.7,6.6,13.8,47.5,2.1,4.9,43.4,4.4,5,87.6,5.8,4.9,1.6,0.1,2.2
42,Chaz Lanier,TENN,G,32,33.3,19.7,6.7,13.1,51,3.3,7.5,44,3,3.4,88,4.8,1.8,0.9,0.3,1.6
43,Tristan Enaruna,CLE,F,35,33.2,19.6,7.2,14.5,49.8,0.8,2.5,32.2,4.4,6.1,72.1,6.5,2.7,1.2,0.9,1.9
44,Sebastian Thomas,URI,G,32,35.4,19.6,6.8,15.8,43.1,1.6,5.3,29.4,4.4,5.7,77.5,4.2,4.9,1.9,0.3,2.8
45,Kobe Sanders,NEV,G,29,33.6,19.6,6.1,13.4,45.9,1.3,3.9,33.9,6,6.9,87.4,3.7,3.2,0.8,0.3,2.9
46,Trey Calvin,WRST,G,31,35.4,19.6,6.8,14.2,48.2,2,5,40,3.9,4.4,89.6,2.4,4.2,1.5,0.1,2
46,Jaylon Tyson,CAL,F,31,34.4,19.6,7.2,15.4,46.5,1.6,4.5,36,3.6,4.6,79.6,6.8,3.5,1.2,0.5,3.1
48,Anthony Dell'Orso,ARIZ,G,32,33.3,19.5,7,14.2,49.2,1.5,4,38,4,4.9,80.9,6.5,1.9,1.6,0.5,2.4
49,Clarence Daniels,UNH,F,31,32.9,19.4,6.7,14.6,45.8,1.7,4.7,36.3,4.4,5.4,80.4,9.6,0.4,1.4,0.5,2.5
