Team,CONF,W,L,FPI,RK,TREND,PROJ W-L,WIN OUT%,6WINS%,WIN DIV%,WIN CONF%,PLAYOFF%,MAKE NC%,WIN NC%
Eastern Michigan Eagles,MAC,5,7,-13,119,--,5.0-7.0,0,0,0,0,0,0,0
Purdue Boilermakers,Big Ten,1,11,-13.3,120,2,1.0-11.0,0,0,0,0,0,0,0
Charlotte 49ers,American,5,7,-13.4,121,1,5.0-7.0,0,0,0,0,0,0,0
San Diego State Aztecs,Mountain West,3,9,-13.7,122,1,3.0-9.0,0,0,0,0,0,0,0
Central Michigan Chippewas,MAC,4,8,-14.4,123,--,4.0-8.0,0,0,0,0,0,0,0
Akron Zips,MAC,4,8,-15.4,124,--,4.0-8.0,0,0,0,0,0,0,0
Massachusetts Minutemen,FBS Indep.,2,10,-17,125,--,2.0-10.0,0,0,0,0,0,0,0
Ball State Cardinals,MAC,3,9,-17.6,126,--,3.0-9.0,0,0,0,0,0,0,0
Temple Owls,American,3,9,-18.5,127,--,3.0-9.0,0,0,0,0,0,0,0
Middle Tennessee Blue Raiders,CUSA,3,9,-19.4,128,--,3.0-9.0,0,0,0,0,0,0,0
UTEP Miners,CUSA,3,9,-19.6,129,--,3.0-9.0,0,0,0,0,0,0,0
New Mexico State Aggies,CUSA,3,9,-20.9,130,--,3.0-9.0,0,0,0,0,0,0,0
Kennesaw State Owls,CUSA,2,10,-21.7,131,--,2.0-10.0,0,0,0,0,0,0,0
Southern Miss Golden Eagles,Sun Belt,1,11,-21.7,132,--,1.0-11.0,0,0,0,0,0,0,0
Tulsa Golden Hurricane,American,3,9,-22.7,133,--,3.0-9.0,0,0,0,0,0,0,0
Kent State Golden Flashes,MAC,0,12,-30.8,134,--,0.0-12.0,0,0,0,0,0,0,0
